EN         MASS-RATIO DATA       DATA-ERR                         D107300200008 
MEV        NO-DIM     PC/FIS     PC/FIS                           D107300200009 
 151.3      0.705      0.089      0.011                           D107300200138 
 151.3      0.715      0.064      0.009                           D107300200139 
 156.0      0.315      0.549      0.031                           D107300200140 
 156.0      0.325      0.610      0.033                           D107300200141 
 156.0      0.335      0.766      0.037                           D107300200142 
 156.0      0.345      0.837      0.039                           D107300200143 
 156.0      0.355      1.036      0.043                           D107300200144 
 156.0      0.365      1.349      0.049                           D107300200145 
 156.0      0.375      1.759      0.056                           D107300200146 
 156.0      0.385      2.114      0.062                           D107300200147 
 156.0      0.395      2.407      0.066                           D107300200148 
 156.0      0.405      2.830      0.071                           D107300200149 
 156.0      0.415      3.427      0.079                           D107300200150 
 156.0      0.425      4.181      0.087                           D107300200151 
 156.0      0.435      4.222      0.087                           D107300200152 
 156.0      0.445      4.550      0.090                           D107300200153 
 156.0      0.455      4.933      0.094                           D107300200154 
 156.0      0.465      5.145      0.096                           D107300200155 
 156.0      0.475      5.541      0.100                           D107300200156 
 156.0      0.485      5.208      0.097                           D107300200157 
 156.0      0.495      5.355      0.098                           D107300200158 
 156.0      0.505      5.355      0.098                           D107300200159 
 156.0      0.515      5.206      0.097                           D107300200160 
 156.0      0.525      5.543      0.100                           D107300200161 
 156.0      0.535      5.145      0.096                           D107300200162 
 156.0      0.545      4.933      0.094                           D107300200163 
 156.0      0.555      4.550      0.090                           D107300200164 
 156.0      0.565      4.220      0.087                           D107300200165 
 156.0      0.575      4.183      0.087                           D107300200166 
 156.0      0.585      3.423      0.078                           D107300200167 
 156.0      0.595      2.832      0.071                           D107300200168 
 156.0      0.605      2.409      0.066                           D107300200169 
 156.0      0.615      2.114      0.062                           D107300200170 
 156.0      0.625      1.759      0.056                           D107300200171 
 156.0      0.635      1.349      0.049                           D107300200172 
 156.0      0.645      1.036      0.043                           D107300200173 
 156.0      0.655      0.837      0.039                           D107300200174 
 156.0      0.665      0.766      0.037                           D107300200175 
 156.0      0.675      0.610      0.033                           D107300200176 
 156.0      0.685      0.549      0.031                           D107300200177 
 160.5      0.295      0.142      0.014                           D107300200178 
 160.5      0.305      0.223      0.017                           D107300200179 
 160.5      0.315      0.322      0.020                           D107300200180 
 160.5      0.325      0.467      0.024                           D107300200181 
 160.5      0.335      0.587      0.027                           D107300200182 
 160.5      0.345      0.792      0.032                           D107300200183 
 160.5      0.355      1.034      0.036                           D107300200184 
 160.5      0.365      1.258      0.040                           D107300200185 
 160.5      0.375      1.665      0.046                           D107300200186 
 160.5      0.385      2.097      0.052                           D107300200187 
 160.5      0.395      2.437      0.056                           D107300200188 
 160.5      0.405      2.889      0.061                           D107300200189 
 160.5      0.415      3.216      0.064                           D107300200190 
 160.5      0.425      4.110      0.073                           D107300200191 
 160.5      0.435      4.209      0.073                           D107300200192 
 160.5      0.445      4.540      0.076                           D107300200193 
 160.5      0.455      5.044      0.080                           D107300200194 
 160.5      0.465      5.305      0.083                           D107300200195 
 160.5      0.475      5.523      0.084                           D107300200196 
 160.5      0.485      5.605      0.085                           D107300200197 
 160.5      0.495      5.353      0.083                           D107300200198 
 160.5      0.505      5.353      0.083                           D107300200199 
 160.5      0.515      5.605      0.085                           D107300200200 
 160.5      0.525      5.523      0.084                           D107300200201 
 160.5      0.535      5.305      0.083                           D107300200202 
 160.5      0.545      5.044      0.080                           D107300200203 
 160.5      0.555      4.540      0.076                           D107300200204 
 160.5      0.565      4.207      0.073                           D107300200205 
 160.5      0.575      4.111      0.073                           D107300200206 
 160.5      0.585      3.214      0.064                           D107300200207 
 160.5      0.595      2.892      0.061                           D107300200208 
 160.5      0.605      2.437      0.056                           D107300200209 
 160.5      0.615      2.096      0.052                           D107300200210 
 160.5      0.625      1.666      0.046                           D107300200211 
 160.5      0.635      1.257      0.040                           D107300200212 
 160.5      0.645      1.036      0.036                           D107300200213 
