ENTRY            D1079   20251001                             D151D107900000001 
SUBENT        D1079001   20251001                             D151D107900100001 
BIB                  8         16                                 D107900100002 
TITLE      Measurement of secondary neutron spectra and the       D107900100003 
            total yield from 18O(p,Xn) reaction                   D107900100004 
AUTHOR     (M.Zmeskal, M.Kostal, O.Lebeda, V.Zach, R.Behal,       D107900100005 
            T.Czakoj, J.Simon, E.Novak, Z.Matej)                  D107900100006 
REFERENCE  (J,RPC,229,112431,2025)                                D107900100007 
INSTITUTE  (3CZRUJV,3CZRCTI,3CZRUJF)                              D107900100008 
           (3CZRCZR) Masaryk University, Brno                     D107900100009 
FACILITY   (CYCLO,3CZRUJF) U-120M cyclotron                       D107900100010 
SAMPLE     (8-O-18,ENR=0.98)                                      D107900100011 
           Phial (5.5 mm inner diameter,  26 mm length, 2.3 ml    D107900100012 
            volume, 25 um havar window) filled with water         D107900100013 
            enriched to 98% with 18O and pressurized to 2E+5 Pa,  D107900100014 
            thicker than the full stopping length of protons      D107900100015 
STATUS     (APRVD) Proofread by Marek Zmeskal (2025-10-01)        D107900100016 
HISTORY    (20251001R) On. Data received from Marek Zmeskal.      D107900100017 
           (20251001C) On                                         D107900100018 
ENDBIB              16          0                                 D107900100019 
NOCOMMON             0          0                                 D107900100020 
ENDSUBENT           19          0                                 D107900199999 
SUBENT        D1079002   20251001                             D151D107900200001 
BIB                  4         11                                 D107900200002 
REACTION   (8-O-CMP(P,X)0-NN-1,,PY/DA/DE,,TT/CH)                  D107900200003 
            water enriched with 18O                               D107900200004 
DETECTOR   (SCIN) stilbene crystal (1 x 1 cm) which centre was    D107900200005 
            located at a distance of 203 cm from the entrance     D107900200006 
            of the water target                                   D107900200007 
ERR-ANALYS (DATA-ERR) Uncertainty due to                          D107900200008 
           - statistics                                           D107900200009 
           - deconvolution                                        D107900200010 
           - energy calibration                                   D107900200011 
STATUS     (TABLE,,M.Zmeskal,J,RPC,229,112431,2025)               D107900200012 
            Spectra in Fig.5 renormalized by Marek Zmeskal        D107900200013 
ENDBIB              11          0                                 D107900200014 
COMMON               1          3                                 D107900200015 
EN                                                                D107900200016 
MEV                                                               D107900200017 
 17.4                                                             D107900200018 
ENDCOMMON            3          0                                 D107900200019 
DATA                 5       1380                                 D107900200020 
ANG        E-MIN      E-MAX      DATA       DATA-ERR              D107900200021 
   0.        4.6        4.7        1.718E+08  5.24                D107900200061 
   0.        4.7        4.8        1.675E+08  5.24                D107900200062 
   0.        4.8        4.9        1.632E+08  5.24                D107900200063 
   0.        4.9        5.         1.594E+08  5.24                D107900200064 
   0.        5.         5.1        1.555E+08  5.23                D107900200065 
   0.        5.1        5.2        1.521E+08  5.24                D107900200066 
   0.        5.2        5.3        1.487E+08  5.24                D107900200067 
   0.        5.3        5.4        1.453E+08  5.26                D107900200068 
   0.        5.4        5.5        1.418E+08  5.28                D107900200069 
   0.        5.5        5.6        1.384E+08  5.29                D107900200070 
   0.        5.6        5.7        1.351E+08  5.30                D107900200071 
   0.        5.7        5.8        1.320E+08  5.29                D107900200072 
   0.        5.8        5.9        1.289E+08  5.28                D107900200073 
   0.        5.9        6.         1.257E+08  5.28                D107900200074 
   0.        6.         6.1        1.226E+08  5.27                D107900200075 
   0.        6.1        6.2        1.198E+08  5.30                D107900200076 
   0.        6.2        6.3        1.170E+08  5.33                D107900200077 
   0.        6.3        6.4        1.143E+08  5.31                D107900200078 
   0.        6.4        6.5        1.117E+08  5.31                D107900200079 
   0.        6.5        6.6        1.091E+08  5.34                D107900200080 
   0.        6.6        6.7        1.066E+08  5.38                D107900200081 
   0.        6.7        6.8        1.039E+08  5.38                D107900200082 
   0.        6.8        6.9        1.011E+08  5.39                D107900200083 
   0.        6.9        7.         9.835E+07  5.41                D107900200084 
   0.        7.         7.1        9.554E+07  5.49                D107900200085 
   0.        7.1        7.2        9.297E+07  5.54                D107900200086 
   0.        7.2        7.3        9.039E+07  5.60                D107900200087 
   0.        7.3        7.4        8.818E+07  5.63                D107900200088 
   0.        7.4        7.5        8.596E+07  5.66                D107900200089 
   0.        7.5        7.6        8.411E+07  5.71                D107900200090 
   0.        7.6        7.7        8.224E+07  5.77                D107900200091 
   0.        7.7        7.8        8.022E+07  5.88                D107900200092 
   0.        7.8        7.9        7.820E+07  5.99                D107900200093 
   0.        7.9        8.         7.659E+07  6.02                D107900200094 
   0.        8.         8.1        7.496E+07  6.05                D107900200095 
   0.        8.1        8.2        7.337E+07  6.15                D107900200096 
   0.        8.2        8.3        7.177E+07  6.25                D107900200097 
   0.        8.3        8.4        7.032E+07  6.32                D107900200098 
   0.        8.4        8.5        6.885E+07  6.39                D107900200099 
   0.        8.5        8.6        6.744E+07  6.45                D107900200100 
   0.        8.6        8.7        6.602E+07  6.51                D107900200101 
   0.        8.7        8.8        6.462E+07  6.56                D107900200102 
   0.        8.8        8.9        6.320E+07  6.63                D107900200103 
   0.        8.9        9.         6.184E+07  6.71                D107900200104 
   0.        9.         9.1        6.047E+07  6.79                D107900200105 
   0.        9.1        9.2        5.930E+07  6.92                D107900200106 
   0.        9.2        9.3        5.812E+07  7.05                D107900200107 
   0.        9.3        9.4        5.701E+07  7.10                D107900200108 
   0.        9.4        9.5        5.588E+07  7.15                D107900200109 
   0.        9.5        9.6        5.477E+07  7.24                D107900200110 
   0.        9.6        9.7        5.366E+07  7.33                D107900200111 
   0.        9.7        9.8        5.263E+07  7.52                D107900200112 
   0.        9.8        9.9        5.161E+07  7.71                D107900200113 
   0.        9.9       10.         5.048E+07  7.97                D107900200114 
   0.       10.        10.1        4.936E+07  8.25                D107900200115 
   0.       10.1       10.2        4.820E+07  8.43                D107900200116 
   0.       10.2       10.3        4.703E+07  8.62                D107900200117 
   0.       10.3       10.4        4.594E+07  8.88                D107900200118 
   0.       10.4       10.5        4.484E+07  9.15                D107900200119 
   0.       10.5       10.6        4.385E+07  9.27                D107900200120 
   0.       10.6       10.7        4.286E+07  9.38                D107900200121 
   0.       10.7       10.8        4.182E+07  9.77                D107900200122 
   0.       10.8       10.9        4.079E+07 10.18                D107900200123 
   0.       10.9       11.         3.981E+07 10.49                D107900200124 
   0.       11.        11.1        3.883E+07 10.82                D107900200125 
   0.       11.1       11.2        3.787E+07 11.23                D107900200126 
   0.       11.2       11.3        3.691E+07 11.65                D107900200127 
   0.       11.3       11.4        3.607E+07 12.01                D107900200128 
   0.       11.4       11.5        3.523E+07 12.38                D107900200129 
   0.       11.5       11.6        3.437E+07 12.71                D107900200130 
   0.       11.6       11.7        3.352E+07 13.04                D107900200131 
   0.       11.7       11.8        3.256E+07 13.71                D107900200132 
   0.       11.8       11.9        3.161E+07 14.40                D107900200133 
   0.       11.9       12.         3.069E+07 15.15                D107900200134 
   0.       12.        12.1        2.978E+07 15.92                D107900200135 
   0.       12.1       12.2        2.886E+07 16.69                D107900200136 
   0.       12.2       12.3        2.795E+07 17.48                D107900200137 
   0.       12.3       12.4        2.699E+07 18.51                D107900200138 
   0.       12.4       12.5        2.604E+07 19.57                D107900200139 
   0.       12.5       12.6        2.512E+07 20.69                D107900200140 
   0.       12.6       12.7        2.421E+07 21.84                D107900200141 
   0.       12.7       12.8        2.333E+07 23.01                D107900200142 
   0.       12.8       12.9        2.247E+07 24.23                D107900200143 
   0.       12.9       13.         2.159E+07 25.70                D107900200144 
   0.       13.        13.1        2.072E+07 27.23                D107900200145 
   0.       13.1       13.2        1.989E+07 28.73                D107900200146 
   0.       13.2       13.3        1.907E+07 30.29                D107900200147 
   0.       13.3       13.4        1.834E+07 31.80                D107900200148 
   0.       13.4       13.5        1.761E+07 33.36                D107900200149 
   0.       13.5       13.6        1.687E+07 35.16                D107900200150 
   0.       13.6       13.7        1.615E+07 37.02                D107900200151 
   0.       13.7       13.8        1.548E+07 38.82                D107900200152 
   0.       13.8       13.9        1.481E+07 40.69                D107900200153 
   0.       13.9       14.         1.422E+07 42.57                D107900200154 
   0.       14.        14.1        1.364E+07 44.51                D107900200155 
   0.       14.1       14.2        1.308E+07 46.43                D107900200156 
   0.       14.2       14.3        1.253E+07 48.41                D107900200157 
   0.       14.3       14.4        1.201E+07 50.35                D107900200158 
   0.       14.4       14.5        1.150E+07 52.35                D107900200159 
   0.       14.5       14.6        1.104E+07 54.27                D107900200160 
  15.        0.8        0.9        1.373E+09  8.09                D107900200161 
  15.        0.9        1.         1.018E+09  5.75                D107900200162 
  15.        1.         1.1        8.067E+08  5.10                D107900200163 
  15.        1.1        1.2        7.018E+08  5.01                D107900200164 
  15.        1.2        1.3        6.202E+08  5.05                D107900200165 
  15.        1.3        1.4        5.647E+08  5.08                D107900200166 
  15.        1.4        1.5        5.171E+08  5.14                D107900200167 
  15.        1.5        1.6        4.804E+08  5.14                D107900200168 
  15.        1.6        1.7        4.471E+08  5.14                D107900200169 
  15.        1.7        1.8        4.196E+08  5.13                D107900200170 
  15.        1.8        1.9        3.939E+08  5.12                D107900200171 
  15.        1.9        2.         3.747E+08  5.10                D107900200172 
  15.        2.         2.1        3.561E+08  5.08                D107900200173 
  15.        2.1        2.2        3.425E+08  5.11                D107900200174 
  15.        2.2        2.3        3.291E+08  5.15                D107900200175 
  15.        2.3        2.4        3.183E+08  5.19                D107900200176 
  15.        2.4        2.5        3.076E+08  5.24                D107900200177 
  15.        2.5        2.6        2.994E+08  5.30                D107900200178 
  15.        2.6        2.7        2.911E+08  5.38                D107900200179 
  15.        2.7        2.8        2.829E+08  5.45                D107900200180 
  15.        2.8        2.9        2.746E+08  5.53                D107900200181 
  15.        2.9        3.         2.666E+08  5.56                D107900200182 
  15.        3.         3.1        2.587E+08  5.58                D107900200183 
  15.        3.1        3.2        2.517E+08  5.58                D107900200184 
  15.        3.2        3.3        2.446E+08  5.58                D107900200185 
  15.        3.3        3.4        2.373E+08  5.56                D107900200186 
  15.        3.4        3.5        2.299E+08  5.55                D107900200187 
  15.        3.5        3.6        2.230E+08  5.54                D107900200188 
  15.        3.6        3.7        2.161E+08  5.53                D107900200189 
  15.        3.7        3.8        2.097E+08  5.51                D107900200190 
  15.        3.8        3.9        2.032E+08  5.48                D107900200191 
  15.        3.9        4.         1.984E+08  5.51                D107900200192 
  15.        4.         4.1        1.935E+08  5.54                D107900200193 
  15.        4.1        4.2        1.886E+08  5.54                D107900200194 
  15.        4.2        4.3        1.836E+08  5.55                D107900200195 
  15.        4.3        4.4        1.795E+08  5.61                D107900200196 
  15.        4.4        4.5        1.753E+08  5.67                D107900200197 
  15.        4.5        4.6        1.709E+08  5.68                D107900200198 
  15.        4.6        4.7        1.664E+08  5.70                D107900200199 
  15.        4.7        4.8        1.622E+08  5.66                D107900200200 
  15.        4.8        4.9        1.580E+08  5.62                D107900200201 
  15.        4.9        5.         1.547E+08  5.67                D107900200202 
  15.        5.         5.1        1.512E+08  5.72                D107900200203 
  15.        5.1        5.2        1.475E+08  5.69                D107900200204 
  15.        5.2        5.3        1.437E+08  5.67                D107900200205 
  15.        5.3        5.4        1.401E+08  5.66                D107900200206 
  15.        5.4        5.5        1.364E+08  5.65                D107900200207 
  15.        5.5        5.6        1.329E+08  5.62                D107900200208 
  15.        5.6        5.7        1.293E+08  5.59                D107900200209 
  15.        5.7        5.8        1.262E+08  5.56                D107900200210 
  15.        5.8        5.9        1.231E+08  5.54                D107900200211 
  15.        5.9        6.         1.197E+08  5.49                D107900200212 
  15.        6.         6.1        1.163E+08  5.49                D107900200213 
  15.        6.1        6.2        1.130E+08  5.46                D107900200214 
  15.        6.2        6.3        1.098E+08  5.42                D107900200215 
  15.        6.3        6.4        1.069E+08  5.41                D107900200216 
  15.        6.4        6.5        1.040E+08  5.43                D107900200217 
  15.        6.5        6.6        1.010E+08  5.44                D107900200218 
  15.        6.6        6.7        9.802E+07  5.49                D107900200219 
  15.        6.7        6.8        9.542E+07  5.44                D107900200220 
  15.        6.8        6.9        9.282E+07  5.40                D107900200221 
  15.        6.9        7.         9.022E+07  5.49                D107900200222 
  15.        7.         7.1        8.760E+07  5.59                D107900200223 
  15.        7.1        7.2        8.519E+07  5.67                D107900200224 
  15.        7.2        7.3        8.276E+07  5.77                D107900200225 
  15.        7.3        7.4        8.049E+07  5.88                D107900200226 
  15.        7.4        7.5        7.821E+07  6.01                D107900200227 
  15.        7.5        7.6        7.624E+07  6.13                D107900200228 
  15.        7.6        7.7        7.426E+07  6.26                D107900200229 
  15.        7.7        7.8        7.218E+07  6.45                D107900200230 
  15.        7.8        7.9        7.011E+07  6.66                D107900200231 
  15.        7.9        8.         6.827E+07  6.80                D107900200232 
  15.        8.         8.1        6.643E+07  6.95                D107900200233 
  15.        8.1        8.2        6.490E+07  7.09                D107900200234 
  15.        8.2        8.3        6.335E+07  7.25                D107900200235 
  15.        8.3        8.4        6.181E+07  7.45                D107900200236 
  15.        8.4        8.5        6.026E+07  7.66                D107900200237 
  15.        8.5        8.6        5.879E+07  7.80                D107900200238 
  15.        8.6        8.7        5.732E+07  7.96                D107900200239 
  15.        8.7        8.8        5.597E+07  8.08                D107900200240 
  15.        8.8        8.9        5.462E+07  8.21                D107900200241 
  15.        8.9        9.         5.339E+07  8.28                D107900200242 
  15.        9.         9.1        5.215E+07  8.36                D107900200243 
  15.        9.1        9.2        5.101E+07  8.64                D107900200244 
  15.        9.2        9.3        4.987E+07  8.92                D107900200245 
  15.        9.3        9.4        4.874E+07  9.08                D107900200246 
  15.        9.4        9.5        4.761E+07  9.25                D107900200247 
  15.        9.5        9.6        4.649E+07  9.50                D107900200248 
  15.        9.6        9.7        4.536E+07  9.76                D107900200249 
  15.        9.7        9.8        4.436E+07 10.05                D107900200250 
  15.        9.8        9.9        4.336E+07 10.35                D107900200251 
  15.        9.9       10.         4.251E+07 10.43                D107900200252 
  15.       10.        10.1        4.166E+07 10.52                D107900200253 
  15.       10.1       10.2        4.077E+07 10.70                D107900200254 
  15.       10.2       10.3        3.987E+07 10.88                D107900200255 
  15.       10.3       10.4        3.895E+07 11.15                D107900200256 
  15.       10.4       10.5        3.803E+07 11.43                D107900200257 
  15.       10.5       10.6        3.705E+07 11.85                D107900200258 
  15.       10.6       10.7        3.606E+07 12.27                D107900200259 
  15.       10.7       10.8        3.514E+07 12.71                D107900200260 
  15.       10.8       10.9        3.421E+07 13.15                D107900200261 
  15.       10.9       11.         3.337E+07 13.52                D107900200262 
  15.       11.        11.1        3.252E+07 13.90                D107900200263 
  15.       11.1       11.2        3.175E+07 14.32                D107900200264 
  15.       11.2       11.3        3.098E+07 14.75                D107900200265 
  15.       11.3       11.4        3.019E+07 15.36                D107900200266 
  15.       11.4       11.5        2.939E+07 15.98                D107900200267 
  15.       11.5       11.6        2.853E+07 16.66                D107900200268 
  15.       11.6       11.7        2.767E+07 17.36                D107900200269 
  15.       11.7       11.8        2.688E+07 17.97                D107900200270 
  15.       11.8       11.9        2.609E+07 18.59                D107900200271 
  15.       11.9       12.         2.537E+07 19.31                D107900200272 
  15.       12.        12.1        2.465E+07 20.06                D107900200273 
  15.       12.1       12.2        2.387E+07 21.06                D107900200274 
  15.       12.2       12.3        2.310E+07 22.09                D107900200275 
  15.       12.3       12.4        2.235E+07 23.06                D107900200276 
  15.       12.4       12.5        2.161E+07 24.05                D107900200277 
  15.       12.5       12.6        2.082E+07 25.37                D107900200278 
  15.       12.6       12.7        2.005E+07 26.73                D107900200279 
  15.       12.7       12.8        1.930E+07 28.04                D107900200280 
  15.       12.8       12.9        1.856E+07 29.39                D107900200281 
  15.       12.9       13.         1.780E+07 31.07                D107900200282 
  15.       13.        13.1        1.706E+07 32.81                D107900200283 
  15.       13.1       13.2        1.635E+07 34.44                D107900200284 
  15.       13.2       13.3        1.566E+07 36.13                D107900200285 
  15.       13.3       13.4        1.503E+07 37.77                D107900200286 
  15.       13.4       13.5        1.442E+07 39.47                D107900200287 
  15.       13.5       13.6        1.384E+07 41.19                D107900200288 
  15.       13.6       13.7        1.326E+07 42.97                D107900200289 
  15.       13.7       13.8        1.272E+07 44.79                D107900200290 
  15.       13.8       13.9        1.219E+07 46.68                D107900200291 
  15.       13.9       14.         1.169E+07 48.75                D107900200292 
  15.       14.        14.1        1.121E+07 50.90                D107900200293 
  15.       14.1       14.2        1.076E+07 52.77                D107900200294 
  15.       14.2       14.3        1.032E+07 54.71                D107900200295 
  15.       14.3       14.4        9.896E+06 57.42                D107900200296 
  15.       14.4       14.5        9.478E+06 60.28                D107900200297 
  15.       14.5       14.6        0.000E+00  0.00                D107900200298 
  30.        0.8        0.9        1.155E+09 10.54                D107900200299 
  30.        0.9        1.         9.315E+08  6.58                D107900200300 
  30.        1.         1.1        7.714E+08  5.31                D107900200301 
  30.        1.1        1.2        6.921E+08  5.02                D107900200302 
  30.        1.2        1.3        6.270E+08  5.10                D107900200303 
  30.        1.3        1.4        5.800E+08  5.23                D107900200304 
  30.        1.4        1.5        5.389E+08  5.39                D107900200305 
  30.        1.5        1.6        5.027E+08  5.43                D107900200306 
  30.        1.6        1.7        4.697E+08  5.47                D107900200307 
  30.        1.7        1.8        4.380E+08  5.39                D107900200308 
  30.        1.8        1.9        4.086E+08  5.32                D107900200309 
  30.        1.9        2.         3.858E+08  5.26                D107900200310 
  30.        2.         2.1        3.640E+08  5.21                D107900200311 
  30.        2.1        2.2        3.460E+08  5.17                D107900200312 
  30.        2.2        2.3        3.287E+08  5.14                D107900200313 
  30.        2.3        2.4        3.161E+08  5.15                D107900200314 
  30.        2.4        2.5        3.036E+08  5.17                D107900200315 
  30.        2.5        2.6        2.931E+08  5.17                D107900200316 
  30.        2.6        2.7        2.826E+08  5.17                D107900200317 
  30.        2.7        2.8        2.734E+08  5.20                D107900200318 
  30.        2.8        2.9        2.641E+08  5.22                D107900200319 
  30.        2.9        3.         2.567E+08  5.24                D107900200320 
  30.        3.         3.1        2.492E+08  5.27                D107900200321 
  30.        3.1        3.2        2.433E+08  5.31                D107900200322 
  30.        3.2        3.3        2.374E+08  5.36                D107900200323 
  30.        3.3        3.4        2.307E+08  5.37                D107900200324 
  30.        3.4        3.5        2.240E+08  5.39                D107900200325 
  30.        3.5        3.6        2.177E+08  5.40                D107900200326 
  30.        3.6        3.7        2.114E+08  5.42                D107900200327 
  30.        3.7        3.8        2.055E+08  5.43                D107900200328 
  30.        3.8        3.9        1.996E+08  5.45                D107900200329 
  30.        3.9        4.         1.950E+08  5.48                D107900200330 
  30.        4.         4.1        1.903E+08  5.51                D107900200331 
  30.        4.1        4.2        1.855E+08  5.52                D107900200332 
  30.        4.2        4.3        1.807E+08  5.53                D107900200333 
  30.        4.3        4.4        1.759E+08  5.53                D107900200334 
  30.        4.4        4.5        1.711E+08  5.55                D107900200335 
  30.        4.5        4.6        1.671E+08  5.54                D107900200336 
  30.        4.6        4.7        1.630E+08  5.55                D107900200337 
  30.        4.7        4.8        1.591E+08  5.58                D107900200338 
  30.        4.8        4.9        1.553E+08  5.61                D107900200339 
  30.        4.9        5.         1.516E+08  5.58                D107900200340 
  30.        5.         5.1        1.478E+08  5.56                D107900200341 
  30.        5.1        5.2        1.445E+08  5.55                D107900200342 
  30.        5.2        5.3        1.412E+08  5.53                D107900200343 
  30.        5.3        5.4        1.379E+08  5.56                D107900200344 
  30.        5.4        5.5        1.345E+08  5.59                D107900200345 
  30.        5.5        5.6        1.312E+08  5.55                D107900200346 
  30.        5.6        5.7        1.278E+08  5.53                D107900200347 
  30.        5.7        5.8        1.251E+08  5.53                D107900200348 
  30.        5.8        5.9        1.223E+08  5.54                D107900200349 
  30.        5.9        6.         1.192E+08  5.50                D107900200350 
  30.        6.         6.1        1.161E+08  5.46                D107900200351 
  30.        6.1        6.2        1.134E+08  5.48                D107900200352 
  30.        6.2        6.3        1.107E+08  5.51                D107900200353 
  30.        6.3        6.4        1.080E+08  5.52                D107900200354 
  30.        6.4        6.5        1.053E+08  5.55                D107900200355 
  30.        6.5        6.6        1.026E+08  5.54                D107900200356 
  30.        6.6        6.7        9.982E+07  5.54                D107900200357 
  30.        6.7        6.8        9.710E+07  5.53                D107900200358 
  30.        6.8        6.9        9.436E+07  5.51                D107900200359 
  30.        6.9        7.         9.154E+07  5.52                D107900200360 
  30.        7.         7.1        8.872E+07  5.54                D107900200361 
  30.        7.1        7.2        8.633E+07  5.49                D107900200362 
  30.        7.2        7.3        8.392E+07  5.49                D107900200363 
  30.        7.3        7.4        8.161E+07  5.59                D107900200364 
  30.        7.4        7.5        7.928E+07  5.72                D107900200365 
  30.        7.5        7.6        7.712E+07  5.85                D107900200366 
  30.        7.6        7.7        7.496E+07  6.01                D107900200367 
  30.        7.7        7.8        7.263E+07  6.24                D107900200368 
  30.        7.8        7.9        7.031E+07  6.50                D107900200369 
  30.        7.9        8.         6.834E+07  6.62                D107900200370 
  30.        8.         8.1        6.638E+07  6.76                D107900200371 
  30.        8.1        8.2        6.466E+07  7.00                D107900200372 
  30.        8.2        8.3        6.294E+07  7.25                D107900200373 
  30.        8.3        8.4        6.133E+07  7.45                D107900200374 
  30.        8.4        8.5        5.972E+07  7.67                D107900200375 
  30.        8.5        8.6        5.821E+07  7.82                D107900200376 
  30.        8.6        8.7        5.670E+07  7.98                D107900200377 
  30.        8.7        8.8        5.520E+07  8.24                D107900200378 
  30.        8.8        8.9        5.370E+07  8.51                D107900200379 
  30.        8.9        9.         5.222E+07  8.75                D107900200380 
  30.        9.         9.1        5.075E+07  8.99                D107900200381 
  30.        9.1        9.2        4.953E+07  9.29                D107900200382 
  30.        9.2        9.3        4.830E+07  9.59                D107900200383 
  30.        9.3        9.4        4.712E+07  9.81                D107900200384 
  30.        9.4        9.5        4.594E+07 10.04                D107900200385 
  30.        9.5        9.6        4.489E+07 10.23                D107900200386 
  30.        9.6        9.7        4.384E+07 10.43                D107900200387 
  30.        9.7        9.8        4.288E+07 10.65                D107900200388 
  30.        9.8        9.9        4.193E+07 10.88                D107900200389 
  30.        9.9       10.         4.102E+07 11.11                D107900200390 
  30.       10.        10.1        4.011E+07 11.35                D107900200391 
  30.       10.1       10.2        3.906E+07 11.73                D107900200392 
  30.       10.2       10.3        3.801E+07 12.13                D107900200393 
  30.       10.3       10.4        3.705E+07 12.43                D107900200394 
  30.       10.4       10.5        3.609E+07 12.73                D107900200395 
  30.       10.5       10.6        3.518E+07 13.03                D107900200396 
  30.       10.6       10.7        3.427E+07 13.34                D107900200397 
  30.       10.7       10.8        3.344E+07 13.69                D107900200398 
  30.       10.8       10.9        3.261E+07 14.03                D107900200399 
  30.       10.9       11.         3.173E+07 14.55                D107900200400 
  30.       11.        11.1        3.085E+07 15.07                D107900200401 
  30.       11.1       11.2        3.015E+07 15.31                D107900200402 
  30.       11.2       11.3        2.946E+07 15.56                D107900200403 
  30.       11.3       11.4        2.876E+07 16.03                D107900200404 
  30.       11.4       11.5        2.806E+07 16.51                D107900200405 
  30.       11.5       11.6        2.737E+07 16.84                D107900200406 
  30.       11.6       11.7        2.669E+07 17.19                D107900200407 
  30.       11.7       11.8        2.595E+07 17.78                D107900200408 
  30.       11.8       11.9        2.522E+07 18.39                D107900200409 
  30.       11.9       12.         2.459E+07 18.91                D107900200410 
  30.       12.        12.1        2.395E+07 19.43                D107900200411 
