LVL-NUMB   ANG        ANG-ERR    EN         DATA       ERR-S      D106200200009 
NO-DIM     ADEG       ADEG       KEV        MB/SR      MB/SR      D106200200010 
 0.         165.       1.0        1526.4      6.60      0.17      D106200200166 
 0.         165.       1.0        1536.4      6.15      0.17      D106200200167 
 0.         165.       1.0        1546.4      6.15      0.17      D106200200168 
 0.         165.       1.0        1551.4      6.79      0.18      D106200200169 
 0.         165.       1.0        1556.4      6.48      0.17      D106200200170 
 0.         165.       1.0        1561.4      8.03      0.19      D106200200171 
 0.         165.       1.0        1566.4      6.31      0.15      D106200200172 
 0.         165.       1.0        1571.4      5.77      0.14      D106200200173 
 0.         165.       1.0        1576.4      6.87      0.18      D106200200174 
 0.         165.       1.0        1581.4      6.81      0.18      D106200200175 
 0.         165.       1.0        1586.4      7.20      0.18      D106200200176 
 0.         165.       1.0        1591.4      7.14      0.18      D106200200177 
 0.         165.       1.0        1596.4      7.55      0.14      D106200200178 
 0.         165.       1.0        1601.4      7.33      0.19      D106200200179 
 0.         165.       1.0        1606.4      7.38      0.20      D106200200180 
 0.         165.       1.0        1611.4      7.09      0.19      D106200200181 
 0.         165.       1.0        1616.4      5.24      0.16      D106200200182 
 0.         165.       1.0        1621.4      6.94      0.19      D106200200183 
 0.         165.       1.0        1626.4      8.77      0.21      D106200200184 
 0.         165.       1.0        1631.4      9.85      0.24      D106200200185 
 0.         165.       1.0        1636.4      9.86      0.25      D106200200186 
 0.         165.       1.0        1641.4     11.16      0.26      D106200200187 
 0.         165.       1.0        1646.4     11.97      0.28      D106200200188 
 0.         165.       1.0        1651.4     12.50      0.28      D106200200189 
 0.         165.       1.0        1656.4     14.4       0.3       D106200200190 
 0.         165.       1.0        1661.4     13.16      0.27      D106200200191 
 0.         165.       1.0        1666.4     11.49      0.23      D106200200192 
 0.         165.       1.0        1671.4     11.41      0.23      D106200200193 
 0.         165.       1.0        1676.4      8.90      0.19      D106200200194 
 0.         165.       1.0        1681.4      8.80      0.19      D106200200195 
 0.         165.       1.0        1686.4      7.91      0.17      D106200200196 
 0.         165.       1.0        1691.4      7.20      0.16      D106200200197 
 0.         165.       1.0        1696.4      7.03      0.16      D106200200198 
 0.         165.       1.0        1706.4      6.56      0.15      D106200200199 
 0.         165.       1.0        1716.4      6.29      0.14      D106200200200 
 0.         165.       1.0        1726.4      5.74      0.11      D106200200201 
 0.         165.       1.0        1736.4      5.72      0.11      D106200200202 
 0.         165.       1.0        1746.5      4.28      0.10      D106200200203 
 0.         165.       1.0        1756.5      3.77      0.08      D106200200204 
 0.         165.       1.0        1766.5      3.18      0.08      D106200200205 
 0.         165.       1.0        1776.5      2.65      0.07      D106200200206 
 0.         165.       1.0        1786.5      2.60      0.08      D106200200207 
 0.         165.       1.0        1796.6      2.46      0.07      D106200200208 
 0.         165.       1.0        1801.6      2.56      0.08      D106200200209 
 0.         165.       1.0        1806.6      2.46      0.07      D106200200210 
 0.         165.       1.0        1811.6      2.86      0.08      D106200200211 
 0.         165.       1.0        1816.6      2.71      0.09      D106200200212 
 0.         165.       1.0        1821.6      3.09      0.08      D106200200213 
 0.         165.       1.0        1826.6      3.29      0.10      D106200200214 
 0.         165.       1.0        1831.6      3.44      0.11      D106200200215 
