ENTRY            D1078   20250827                             D150D107800000001 
SUBENT        D1078001   20250827                             D150D107800100001 
BIB                 12         23                                 D107800100002 
TITLE      Elastic scattering of 10B + 119Sn: Optical model       D107800100003 
            analysis at energies around the coulomb barrier       D107800100004 
AUTHOR     (W A Y.Hatano, L R.Gasques, V.Scarduelli, L C.Chamon,  D107800100005 
            J K L.Chaves, L M.Martinis, G P.Cessel, M A G.Alvarez,D107800100006 
            J P.Fernandez-Garcia, L.Garrido-Gomez)                D107800100007 
REFERENCE  (J,JP/G,52,075102,2025)                                D107800100008 
INSTITUTE  (3BZLUSP,2SPNSEU)                                      D107800100009 
FACILITY   (VDGT,3BZLUSP) 8MV electrostatic tandem accelerator    D107800100010 
SAMPLE     - 119Sn film (~~50 ug/cm2) mounted at the center of    D107800100011 
             the 30B scattering chamber                           D107800100012 
           - 197Au (~20 ug/cm2) evaporated onto the 119Sn film    D107800100013 
DETECTOR   (TELES,SISD,SISD) Two 16x16 single-sided Si strip      D107800100014 
            telescopes placed at 12 cm from the target covering   D107800100015 
            an angular range of ~22 deg                           D107800100016 
           (SIBAR) Three surface barrier detectors at 30, 40 and  D107800100017 
            50 deg to detect elastic scattering of 10B with 119Sn D107800100018 
            and 197Au                                             D107800100019 
METHOD     (EDE)                                                  D107800100020 
ANALYSIS   (NTRTH)                                                D107800100021 
ERR-ANALYS (ERR-S) only statistics                                D107800100022 
STATUS     (TABLE,,W.A.Y.Hatano+,J,JP/G,52,075102,2025) Figs.2+3  D107800100023 
HISTORY    (20250827R) On. Data received from Leandro Gasques     D107800100024 
           (20250827C) On                                         D107800100025 
ENDBIB              23          0                                 D107800100026 
NOCOMMON             0          0                                 D107800100027 
ENDSUBENT           26          0                                 D107800199999 
SUBENT        D1078002   20250815                             D150D107800200001 
BIB                  1          1                                 D107800200002 
REACTION   (50-SN-119(5-B-10,EL)50-SN-119,,DA,,RTH)               D107800200003 
ENDBIB               1          0                                 D107800200004 
NOCOMMON             0          0                                 D107800200005 
DATA                 4        185                                 D107800200006 
 34.6        32.4      1.008      0.029                           D107800200047 
 34.6        43.1      0.995      0.014                           D107800200048 
 34.6        53.7      1.020      0.027                           D107800200049 
 34.6        59.0      1.006      0.021                           D107800200050 
 34.6        64.9      1.008      0.012                           D107800200051 
 34.6        68.1      1.011      0.009                           D107800200052 
 34.6        70.5      0.998      0.013                           D107800200053 
 34.6        73.1      1.006      0.009                           D107800200054 
 34.6        76.4      1.008      0.009                           D107800200055 
 34.6        79.7      1.012      0.013                           D107800200056 
 34.6        82.1      1.008      0.014                           D107800200057 
 34.6        85.2      1.004      0.008                           D107800200058 
 34.6        88.5      0.996      0.006                           D107800200059 
 34.6        91.6      0.997      0.006                           D107800200060 
 34.6        94.9      0.994      0.006                           D107800200061 
 34.6        98.0      0.994      0.006                           D107800200062 
 34.6       100.3      0.989      0.006                           D107800200063 
 34.6       103.3      0.983      0.006                           D107800200064 
 34.6       106.3      0.970      0.004                           D107800200065 
 34.6       109.6      0.957      0.005                           D107800200066 
 34.6       112.6      0.935      0.007                           D107800200067 
 34.6       115.9      0.907      0.010                           D107800200068 
 34.6       119.0      0.887      0.007                           D107800200069 
 34.6       121.7      0.860      0.014                           D107800200070 
 34.6       124.8      0.832      0.007                           D107800200071 
 34.6       127.4      0.813      0.006                           D107800200072 
 34.6       130.4      0.790      0.009                           D107800200073 
 34.6       133.4      0.755      0.008                           D107800200074 
 34.6       136.5      0.717      0.008                           D107800200075 
 34.6       139.7      0.688      0.008                           D107800200076 
 34.6       142.7      0.656      0.007                           D107800200077 
 34.6       145.5      0.631      0.010                           D107800200078 
 34.6       148.5      0.613      0.005                           D107800200079 
 34.6       151.6      0.583      0.007                           D107800200080 
 34.6       154.3      0.578      0.006                           D107800200081 
 34.6       157.2      0.552      0.005                           D107800200082 
 34.6       160.9      0.543      0.007                           D107800200083 
 34.6       162.3      0.550      0.010                           D107800200084 
 35.5        32.4      0.988      0.027                           D107800200085 
 35.5        43.1      1.018      0.030                           D107800200086 
 35.5        53.7      1.019      0.026                           D107800200087 
 35.5        62.3      0.982      0.015                           D107800200088 
 35.5        64.9      1.008      0.008                           D107800200089 
 35.5        68.0      1.000      0.009                           D107800200090 
 35.5        70.5      0.991      0.012                           D107800200091 
 35.5        73.6      0.997      0.010                           D107800200092 
 35.5        76.4      0.995      0.009                           D107800200093 
 35.5        79.7      1.017      0.009                           D107800200094 
 35.5        82.9      1.015      0.009                           D107800200095 
 35.5        85.2      1.011      0.013                           D107800200096 
 35.5        88.5      1.003      0.007                           D107800200097 
 35.5        91.6      1.010      0.006                           D107800200098 
 35.5        94.9      1.006      0.007                           D107800200099 
 35.5        98.0      0.995      0.009                           D107800200100 
 35.5       100.3      0.989      0.007                           D107800200101 
 35.5       103.3      0.963      0.007                           D107800200102 
 35.5       106.3      0.941      0.006                           D107800200103 
 35.5       109.6      0.905      0.005                           D107800200104 
 35.5       112.8      0.864      0.006                           D107800200105 
 35.5       115.9      0.823      0.008                           D107800200106 
 35.5       119.0      0.781      0.009                           D107800200107 
 35.5       121.9      0.734      0.006                           D107800200108 
 35.5       124.8      0.711      0.009                           D107800200109 
 35.5       127.3      0.654      0.006                           D107800200110 
 35.5       130.4      0.615      0.006                           D107800200111 
 35.5       133.4      0.591      0.005                           D107800200112 
 35.5       136.5      0.555      0.007                           D107800200113 
 35.5       139.7      0.522      0.005                           D107800200114 
 35.5       142.7      0.488      0.003                           D107800200115 
 35.5       145.5      0.463      0.007                           D107800200116 
 35.5       148.5      0.441      0.009                           D107800200117 
 35.5       151.6      0.417      0.008                           D107800200118 
 35.5       154.3      0.400      0.007                           D107800200119 
 35.5       157.2      0.386      0.005                           D107800200120 
 35.5       160.9      0.373      0.007                           D107800200121 
 35.5       162.3      0.366      0.013                           D107800200122 
 36.6        32.4      1.005      0.025                           D107800200123 
 36.6        53.7      1.009      0.024                           D107800200124 
 36.6        62.3      0.981      0.014                           D107800200125 
 36.6        64.9      1.007      0.008                           D107800200126 
 36.6        68.1      1.006      0.010                           D107800200127 
 36.6        70.0      1.001      0.011                           D107800200128 
 36.6        73.6      1.000      0.008                           D107800200129 
 36.6        76.4      1.009      0.009                           D107800200130 
 36.6        79.7      1.019      0.009                           D107800200131 
 36.6        82.1      1.025      0.013                           D107800200132 
 36.6        85.2      1.048      0.008                           D107800200133 
 36.6        88.8      1.042      0.007                           D107800200134 
 36.6        91.6      1.031      0.007                           D107800200135 
 36.6        94.8      1.005      0.008                           D107800200136 
 36.6        98.0      0.963      0.006                           D107800200137 
 36.6       100.5      0.931      0.009                           D107800200138 
 36.6       103.3      0.882      0.015                           D107800200139 
 36.6       106.2      0.837      0.014                           D107800200140 
 36.6       109.5      0.767      0.020                           D107800200141 
 36.6       112.3      0.695      0.027                           D107800200142 
 36.6       115.9      0.651      0.031                           D107800200143 
 36.6       119.1      0.613      0.011                           D107800200144 
 36.6       121.7      0.546      0.008                           D107800200145 
 36.6       124.3      0.519      0.007                           D107800200146 
 36.6       127.3      0.466      0.007                           D107800200147 
 36.6       130.4      0.436      0.009                           D107800200148 
 36.6       133.4      0.398      0.004                           D107800200149 
 36.6       136.4      0.366      0.009                           D107800200150 
 36.6       139.4      0.346      0.007                           D107800200151 
 36.6       142.6      0.313      0.004                           D107800200152 
 36.6       144.6      0.295      0.013                           D107800200153 
 36.6       148.3      0.276      0.024                           D107800200154 
 40.0        32.4      0.992      0.023                           D107800200155 
 40.0        43.1      1.012      0.017                           D107800200156 
 40.0        53.7      1.014      0.022                           D107800200157 
 40.0        59.0      0.978      0.038                           D107800200158 
 40.0        62.3      1.050      0.015                           D107800200159 
 40.0        64.9      1.065      0.014                           D107800200160 
 40.0        68.1      1.097      0.009                           D107800200161 
 40.0        70.5      1.095      0.013                           D107800200162 
 40.0        73.1      1.097      0.013                           D107800200163 
 40.0        76.4      1.069      0.011                           D107800200164 
 40.0        79.7      1.005      0.009                           D107800200165 
 40.0        82.9      0.916      0.024                           D107800200166 
 40.0        85.2      0.844      0.041                           D107800200167 
 40.0        88.5      0.736      0.013                           D107800200168 
 40.0        91.6      0.646      0.020                           D107800200169 
 40.0        94.8      0.566      0.015                           D107800200170 
 40.0        98.0      0.502      0.014                           D107800200171 
 40.0       100.3      0.434      0.019                           D107800200172 
 40.0       103.3      0.364      0.009                           D107800200173 
 40.0       106.3      0.313      0.009                           D107800200174 
 40.0       109.5      0.258      0.007                           D107800200175 
 40.0       112.5      0.218      0.006                           D107800200176 
 40.0       115.8      0.182      0.004                           D107800200177 
 40.0       119.0      0.155      0.004                           D107800200178 
 40.0       121.8      0.129      0.002                           D107800200179 
 40.0       124.6      0.115      0.003                           D107800200180 
 40.0       127.3      0.099      0.002                           D107800200181 
 40.0       130.3      0.086      0.003                           D107800200182 
 40.0       133.4      0.073      0.002                           D107800200183 
 40.0       136.5      0.066      0.003                           D107800200184 
 40.0       139.7      0.055      0.001                           D107800200185 
 40.0       142.7      0.048      0.001                           D107800200186 
 40.0       145.3      0.043      0.001                           D107800200187 
 40.0       148.4      0.041      0.001                           D107800200188 
 40.0       151.6      0.036      0.001                           D107800200189 
 40.0       154.2      0.034      0.004                           D107800200190 
 40.0       157.1      0.030      0.003                           D107800200191 
 40.0       160.9      0.028      0.001                           D107800200192 
 40.0       162.3      0.026      0.002                           D107800200193 
ENDDATA            187          0                                 D107800200194 
ENDSUBENT          193          0                                 D107800299999 
ENDENTRY             2          0                                 D107899999999 
