ENTRY            D8110   20251120                             D151D811000000001 
SUBENT        D8110001   20251120                             D151D811000100001 
BIB                 10         25                                 D811000100002 
TITLE      New measurements of (p,xp) and (p,x&#945;) reactions   D811000100003 
            on 27 Al at 7.0, 22.0 and 30.0 MeV                    D811000100004 
AUTHOR     (D.Gusseinova, G.Ussabayeva, T.K.Zholdybayev,          D811000100005 
            I.Boztosun, Y.Kucuk, A.J.Koning, Zh.Kerimkulov,       D811000100006 
            B.Sadykov, A.Temirzhanov, B.Canbula)                  D811000100007 
INSTITUTE  (4KASKAZ,3ZZZIAE,4KASATN,4KASAFU)                      D811000100008 
           (2TUKTUK) Akdeniz University, Antalya; Temel Bilimler  D811000100009 
            Arastirma Enstitusu (TBAE), Kocaeli; Turkish          D811000100010 
            Accelerator and Radiation Laboratory (TARLA), Ankara; D811000100011 
            Manisa Celal Bayar University, Manisa                 D811000100012 
           (4KASKAS) Satbayev University, Almaty; Abai Kazakh     D811000100013 
             National Pedagogical University, Almaty              D811000100014 
REFERENCE  (J,EPJ/A,61,133,2025)                                  D811000100015 
FACILITY   (ISOCY,4KASKAZ) U-150M                                 D811000100016 
SAMPLE     27Al foil (3.65 mg/cm2)                                D811000100017 
DETECTOR   (TELES,SI,SI) 25-50 um thick Si dE detector and 2 mm   D811000100018 
            thick Si E detector                                   D811000100019 
METHOD     (EDE,BCINT)                                            D811000100020 
ERR-ANALYS (ERR-T) Total uncertainty                              D811000100021 
           (ERR-SYS,,10.) Total systematic uncertainty  (<10%)    D811000100022 
           (ERR-1) Determination of target thickness      (5%)    D811000100023 
           (ERR-2) Calibration of the current integrator  (1%)    D811000100024 
           (ERR-3) Solid angle of the spectrometer      (1.3%)    D811000100025 
           (ERR-4) Beam energy                          (1.2%)    D811000100026 
HISTORY    (20250923C) Zholdybayev                                D811000100027 
ENDBIB              25          0                                 D811000100028 
COMMON               4          3                                 D811000100029 
ERR-1      ERR-2      ERR-3      ERR-4                            D811000100030 
PER-CENT   PER-CENT   PER-CENT   PER-CENT                         D811000100031 
         5.         1.        1.3        1.2                      D811000100032 
ENDCOMMON            3          0                                 D811000100033 
ENDSUBENT           32          0                                 D811000199999 
SUBENT        D8110002   20251120                             D151D811000200001 
BIB                  2          2                                 D811000200002 
REACTION   (29-CU-0(P,X)1-H-1,,DA/DE)                             D811000200003 
STATUS     (TABLE,,D.Gusseinova+,J,EPJ/A,61,133,2025) Fig.5       D811000200004 
ENDBIB               2          0                                 D811000200005 
NOCOMMON             0          0                                 D811000200006 
DATA                 5       1433                                 D811000200007 
EN         ANG        E-CM       DATA-CM    ERR-T                 D811000200008 
        22.        45.      21.09      1.438      0.059           D811000200445 
        22.        45.      21.28      0.460      0.031           D811000200446 
        22.        60.       2.92      5.607      0.118           D811000200447 
        22.        60.       3.12      4.256      0.095           D811000200448 
        22.        60.       3.31      4.234      0.094           D811000200449 
        22.        60.       3.50      4.657      0.101           D811000200450 
        22.        60.       3.69      4.790      0.104           D811000200451 
        22.        60.       3.88      4.946      0.106           D811000200452 
        22.        60.       4.07      4.837      0.104           D811000200453 
        22.        60.       4.26      4.874      0.105           D811000200454 
        22.        60.       4.46      4.971      0.106           D811000200455 
        22.        60.       4.65      5.219      0.111           D811000200456 
        22.        60.       4.84      5.738      0.120           D811000200457 
        22.        60.       5.03      6.322      0.129           D811000200458 
        22.        60.       5.23      6.204      0.127           D811000200459 
        22.        60.       5.42      5.150      0.109           D811000200460 
        22.        60.       5.61      4.326      0.095           D811000200461 
        22.        60.       5.81      4.111      0.091           D811000200462 
        22.        60.       6.00      3.978      0.089           D811000200463 
        22.        60.       6.19      3.849      0.087           D811000200464 
        22.        60.       6.39      3.664      0.084           D811000200465 
        22.        60.       6.58      3.639      0.083           D811000200466 
        22.        60.       6.77      3.447      0.080           D811000200467 
        22.        60.       6.97      3.498      0.081           D811000200468 
        22.        60.       7.16      3.330      0.078           D811000200469 
        22.        60.       7.35      3.281      0.077           D811000200470 
        22.        60.       7.55      3.274      0.077           D811000200471 
        22.        60.       7.74      3.118      0.074           D811000200472 
        22.        60.       7.94      3.029      0.073           D811000200473 
        22.        60.       8.13      2.925      0.071           D811000200474 
        22.        60.       8.32      2.835      0.069           D811000200475 
        22.        60.       8.52      2.831      0.069           D811000200476 
        22.        60.       8.71      2.783      0.068           D811000200477 
        22.        60.       8.91      2.563      0.064           D811000200478 
        22.        60.       9.10      2.711      0.067           D811000200479 
        22.        60.       9.30      2.513      0.063           D811000200480 
        22.        60.       9.49      2.387      0.061           D811000200481 
        22.        60.       9.69      2.413      0.062           D811000200482 
        22.        60.       9.88      2.391      0.061           D811000200483 
        22.        60.      10.07      2.428      0.062           D811000200484 
        22.        60.      10.27      2.612      0.065           D811000200485 
        22.        60.      10.46      2.590      0.065           D811000200486 
        22.        60.      10.66      2.476      0.063           D811000200487 
        22.        60.      10.85      2.268      0.059           D811000200488 
        22.        60.      11.05      2.085      0.056           D811000200489 
        22.        60.      11.24      2.018      0.054           D811000200490 
        22.        60.      11.44      1.973      0.054           D811000200491 
        22.        60.      11.63      1.946      0.053           D811000200492 
        22.        60.      11.83      1.806      0.050           D811000200493 
        22.        60.      12.02      1.729      0.049           D811000200494 
        22.        60.      12.22      1.944      0.053           D811000200495 
        22.        60.      12.41      2.008      0.054           D811000200496 
        22.        60.      12.61      1.801      0.050           D811000200497 
        22.        60.      12.81      1.627      0.047           D811000200498 
        22.        60.      13.00      1.661      0.048           D811000200499 
        22.        60.      13.20      1.850      0.051           D811000200500 
        22.        60.      13.39      2.202      0.058           D811000200501 
        22.        60.      13.59      2.441      0.062           D811000200502 
        22.        60.      13.78      2.353      0.061           D811000200503 
        22.        60.      13.98      1.992      0.054           D811000200504 
        22.        60.      14.17      1.809      0.051           D811000200505 
        22.        60.      14.37      1.643      0.047           D811000200506 
        22.        60.      14.56      1.428      0.043           D811000200507 
        22.        60.      14.76      1.076      0.036           D811000200508 
        22.        60.      14.96      0.939      0.033           D811000200509 
        22.        60.      15.15      1.176      0.038           D811000200510 
        22.        60.      15.35      1.498      0.045           D811000200511 
        22.        60.      15.54      1.690      0.048           D811000200512 
        22.        60.      15.74      1.575      0.046           D811000200513 
        22.        60.      15.93      1.330      0.041           D811000200514 
        22.        60.      16.13      1.387      0.042           D811000200515 
        22.        60.      16.33      1.434      0.043           D811000200516 
        22.        60.      16.52      1.249      0.040           D811000200517 
        22.        60.      16.72      0.938      0.033           D811000200518 
        22.        60.      16.91      0.796      0.030           D811000200519 
        22.        60.      17.11      0.890      0.032           D811000200520 
        22.        60.      17.30      1.278      0.040           D811000200521 
        22.        60.      17.50      1.988      0.054           D811000200522 
        22.        60.      17.70      2.868      0.070           D811000200523 
        22.        60.      17.89      3.088      0.074           D811000200524 
        22.        60.      18.09      2.870      0.070           D811000200525 
        22.        60.      18.28      2.516      0.064           D811000200526 
        22.        60.      18.48      2.481      0.063           D811000200527 
        22.        60.      18.68      2.185      0.058           D811000200528 
        22.        60.      18.87      1.918      0.053           D811000200529 
        22.        60.      19.07      1.973      0.054           D811000200530 
        22.        60.      19.27      3.264      0.077           D811000200531 
        22.        60.      19.46      5.883      0.122           D811000200532 
        22.        60.      19.66     10.240      0.195           D811000200533 
        22.        60.      19.85     18.110      0.325           D811000200534 
        22.        60.      20.05     29.560      0.514           D811000200535 
        22.        60.      20.25     42.870      0.733           D811000200536 
        22.        60.      20.44     50.160      0.853           D811000200537 
        22.        60.      20.64     44.690      0.763           D811000200538 
        22.        60.      20.84     27.770      0.484           D811000200539 
        22.        60.      21.03     11.220      0.211           D811000200540 
        22.        60.      21.23      3.141      0.075           D811000200541 
        22.        60.      21.42      0.968      0.034           D811000200542 
        22.        75.       3.07      2.348      0.063           D811000200543 
        22.        75.       3.27      3.008      0.075           D811000200544 
        22.        75.       3.46      3.407      0.082           D811000200545 
        22.        75.       3.66      3.643      0.086           D811000200546 
        22.        75.       3.85      3.711      0.088           D811000200547 
        22.        75.       4.05      3.845      0.090           D811000200548 
        22.        75.       4.24      3.712      0.087           D811000200549 
        22.        75.       4.44      3.660      0.087           D811000200550 
        22.        75.       4.64      3.730      0.088           D811000200551 
        22.        75.       4.83      3.648      0.086           D811000200552 
        22.        75.       5.03      3.504      0.084           D811000200553 
        22.        75.       5.22      3.579      0.085           D811000200554 
        22.        75.       5.42      3.527      0.084           D811000200555 
        22.        75.       5.62      3.463      0.083           D811000200556 
        22.        75.       5.81      3.310      0.080           D811000200557 
        22.        75.       6.01      3.196      0.078           D811000200558 
        22.        75.       6.21      3.028      0.075           D811000200559 
        22.        75.       6.40      2.946      0.074           D811000200560 
        22.        75.       6.60      2.901      0.073           D811000200561 
        22.        75.       6.80      2.891      0.073           D811000200562 
        22.        75.       6.99      2.711      0.070           D811000200563 
        22.        75.       7.19      2.708      0.070           D811000200564 
        22.        75.       7.39      2.587      0.067           D811000200565 
        22.        75.       7.58      2.513      0.066           D811000200566 
        22.        75.       7.78      2.365      0.063           D811000200567 
        22.        75.       7.98      2.297      0.062           D811000200568 
        22.        75.       8.17      2.264      0.061           D811000200569 
        22.        75.       8.37      2.175      0.060           D811000200570 
        22.        75.       8.57      2.154      0.059           D811000200571 
        22.        75.       8.76      2.132      0.059           D811000200572 
        22.        75.       8.96      2.047      0.057           D811000200573 
        22.        75.       9.16      1.960      0.056           D811000200574 
        22.        75.       9.36      1.893      0.054           D811000200575 
        22.        75.       9.55      1.841      0.053           D811000200576 
        22.        75.       9.75      1.944      0.055           D811000200577 
        22.        75.       9.95      2.111      0.059           D811000200578 
        22.        75.      10.15      2.167      0.060           D811000200579 
        22.        75.      10.34      1.820      0.053           D811000200580 
        22.        75.      10.54      1.667      0.050           D811000200581 
        22.        75.      10.74      1.613      0.049           D811000200582 
        22.        75.      10.93      1.558      0.048           D811000200583 
        22.        75.      11.13      1.484      0.046           D811000200584 
        22.        75.      11.33      1.489      0.047           D811000200585 
        22.        75.      11.53      1.380      0.044           D811000200586 
        22.        75.      11.72      1.148      0.040           D811000200587 
        22.        75.      11.92      1.208      0.041           D811000200588 
        22.        75.      12.12      1.333      0.043           D811000200589 
        22.        75.      12.32      1.369      0.044           D811000200590 
        22.        75.      12.51      1.218      0.041           D811000200591 
        22.        75.      12.71      1.117      0.039           D811000200592 
        22.        75.      12.91      1.143      0.039           D811000200593 
        22.        75.      13.11      1.253      0.042           D811000200594 
        22.        75.      13.30      1.416      0.045           D811000200595 
        22.        75.      13.50      1.554      0.048           D811000200596 
        22.        75.      13.70      1.412      0.045           D811000200597 
        22.        75.      13.90      1.172      0.040           D811000200598 
        22.        75.      14.09      1.147      0.040           D811000200599 
        22.        75.      14.29      1.034      0.037           D811000200600 
        22.        75.      14.49      0.839      0.033           D811000200601 
        22.        75.      14.69      0.672      0.029           D811000200602 
        22.        75.      14.89      0.766      0.031           D811000200603 
        22.        75.      15.08      0.886      0.034           D811000200604 
        22.        75.      15.28      0.950      0.035           D811000200605 
        22.        75.      15.48      0.803      0.032           D811000200606 
        22.        75.      15.68      0.667      0.029           D811000200607 
        22.        75.      15.87      0.690      0.029           D811000200608 
        22.        75.      16.07      0.793      0.032           D811000200609 
        22.        75.      16.27      0.822      0.032           D811000200610 
        22.        75.      16.47      0.607      0.027           D811000200611 
        22.        75.      16.67      0.479      0.024           D811000200612 
        22.        75.      16.86      0.418      0.022           D811000200613 
        22.        75.      17.06      0.447      0.023           D811000200614 
        22.        75.      17.26      0.817      0.032           D811000200615 
        22.        75.      17.46      1.467      0.046           D811000200616 
        22.        75.      17.65      1.926      0.055           D811000200617 
        22.        75.      17.85      2.045      0.057           D811000200618 
        22.        75.      18.05      1.725      0.051           D811000200619 
        22.        75.      18.25      1.633      0.049           D811000200620 
        22.        75.      18.45      1.649      0.050           D811000200621 
        22.        75.      18.64      1.437      0.046           D811000200622 
        22.        75.      18.84      1.309      0.043           D811000200623 
        22.        75.      19.04      1.523      0.047           D811000200624 
        22.        75.      19.24      1.902      0.055           D811000200625 
        22.        75.      19.44      2.366      0.063           D811000200626 
        22.        75.      19.63      3.149      0.077           D811000200627 
        22.        75.      19.83      5.241      0.114           D811000200628 
        22.        75.      20.03      9.982      0.194           D811000200629 
        22.        75.      20.23     15.040      0.278           D811000200630 
        22.        75.      20.43     15.900      0.292           D811000200631 
        22.        75.      20.62     11.140      0.213           D811000200632 
        22.        75.      20.82      5.947      0.126           D811000200633 
        22.        75.      21.02      2.476      0.065           D811000200634 
        22.        75.      21.22      0.928      0.035           D811000200635 
        22.        75.      21.42      0.440      0.023           D811000200636 
        22.        75.      21.61      0.270      0.017           D811000200637 
        22.        90.       3.23      3.487      0.096           D811000200638 
        22.        90.       3.43      3.120      0.089           D811000200639 
        22.        90.       3.63      3.431      0.094           D811000200640 
        22.        90.       3.83      3.604      0.098           D811000200641 
        22.        90.       4.03      3.638      0.098           D811000200642 
        22.        90.       4.23      3.700      0.099           D811000200643 
        22.        90.       4.43      3.684      0.099           D811000200644 
        22.        90.       4.63      3.638      0.098           D811000200645 
        22.        90.       4.83      3.571      0.097           D811000200646 
        22.        90.       5.03      3.490      0.095           D811000200647 
        22.        90.       5.23      3.506      0.096           D811000200648 
        22.        90.       5.43      3.413      0.094           D811000200649 
        22.        90.       5.63      3.412      0.094           D811000200650 
        22.        90.       5.83      3.299      0.092           D811000200651 
        22.        90.       6.03      3.233      0.091           D811000200652 
        22.        90.       6.23      2.917      0.085           D811000200653 
        22.        90.       6.43      2.909      0.084           D811000200654 
        22.        90.       6.63      2.841      0.083           D811000200655 
        22.        90.       6.83      2.784      0.082           D811000200656 
        22.        90.       7.03      2.824      0.083           D811000200657 
        22.        90.       7.23      2.587      0.078           D811000200658 
        22.        90.       7.43      2.613      0.079           D811000200659 
        22.        90.       7.63      2.542      0.077           D811000200660 
        22.        90.       7.83      2.588      0.078           D811000200661 
        22.        90.       8.03      2.426      0.075           D811000200662 
        22.        90.       8.23      2.402      0.074           D811000200663 
        22.        90.       8.43      2.444      0.075           D811000200664 
        22.        90.       8.63      2.246      0.071           D811000200665 
        22.        90.       8.83      2.194      0.070           D811000200666 
        22.        90.       9.03      2.112      0.069           D811000200667 
        22.        90.       9.23      2.093      0.068           D811000200668 
        22.        90.       9.43      2.087      0.068           D811000200669 
        22.        90.       9.63      1.992      0.066           D811000200670 
        22.        90.       9.83      1.950      0.065           D811000200671 
        22.        90.      10.03      1.954      0.065           D811000200672 
        22.        90.      10.23      1.890      0.064           D811000200673 
        22.        90.      10.43      1.886      0.064           D811000200674 
        22.        90.      10.63      1.796      0.062           D811000200675 
        22.        90.      10.83      1.617      0.058           D811000200676 
        22.        90.      11.03      1.573      0.057           D811000200677 
        22.        90.      11.23      1.472      0.055           D811000200678 
        22.        90.      11.43      1.515      0.056           D811000200679 
        22.        90.      11.63      1.445      0.054           D811000200680 
        22.        90.      11.83      1.394      0.053           D811000200681 
        22.        90.      12.03      1.267      0.050           D811000200682 
        22.        90.      12.23      1.149      0.047           D811000200683 
        22.        90.      12.43      1.197      0.049           D811000200684 
        22.        90.      12.63      1.194      0.049           D811000200685 
        22.        90.      12.83      1.185      0.048           D811000200686 
        22.        90.      13.03      1.187      0.048           D811000200687 
        22.        90.      13.23      1.105      0.046           D811000200688 
        22.        90.      13.43      1.114      0.047           D811000200689 
        22.        90.      13.63      1.138      0.047           D811000200690 
        22.        90.      13.83      1.192      0.049           D811000200691 
        22.        90.      14.03      1.211      0.049           D811000200692 
        22.        90.      14.23      1.235      0.050           D811000200693 
        22.        90.      14.43      1.126      0.047           D811000200694 
        22.        90.      14.63      0.992      0.044           D811000200695 
        22.        90.      14.83      1.012      0.044           D811000200696 
        22.        90.      15.03      0.972      0.043           D811000200697 
        22.        90.      15.23      0.822      0.039           D811000200698 
        22.        90.      15.43      0.765      0.038           D811000200699 
        22.        90.      15.63      0.723      0.037           D811000200700 
        22.        90.      15.83      0.740      0.037           D811000200701 
        22.        90.      16.03      0.710      0.036           D811000200702 
        22.        90.      16.23      0.684      0.035           D811000200703 
        22.        90.      16.43      0.593      0.033           D811000200704 
        22.        90.      16.63      0.611      0.033           D811000200705 
        22.        90.      16.83      0.576      0.032           D811000200706 
        22.        90.      17.03      0.572      0.032           D811000200707 
        22.        90.      17.23      0.491      0.030           D811000200708 
        22.        90.      17.43      0.425      0.027           D811000200709 
        22.        90.      17.63      0.329      0.024           D811000200710 
        22.        90.      17.83      0.366      0.025           D811000200711 
        22.        90.      18.03      0.504      0.030           D811000200712 
        22.        90.      18.23      0.689      0.036           D811000200713 
        22.        90.      18.43      1.052      0.045           D811000200714 
        22.        90.      18.63      1.124      0.047           D811000200715 
        22.        90.      18.83      1.319      0.051           D811000200716 
        22.        90.      19.03      1.280      0.051           D811000200717 
        22.        90.      19.23      1.307      0.051           D811000200718 
        22.        90.      19.43      1.387      0.053           D811000200719 
        22.        90.      19.63      1.258      0.050           D811000200720 
        22.        90.      19.83      1.228      0.049           D811000200721 
        22.        90.      20.03      1.188      0.048           D811000200722 
        22.        90.      20.23      1.048      0.045           D811000200723 
        22.        90.      20.43      1.147      0.047           D811000200724 
        22.        90.      20.63      1.516      0.056           D811000200725 
        22.        90.      20.83      2.131      0.069           D811000200726 
        22.        90.      21.03      2.885      0.084           D811000200727 
        22.        90.      21.23      4.356      0.111           D811000200728 
        22.        90.      21.43      4.874      0.120           D811000200729 
        22.        90.      21.63      4.867      0.120           D811000200730 
        22.        90.      21.83      3.919      0.103           D811000200731 
        22.       105.       3.39      2.518      0.061           D811000200732 
        22.       105.       3.59      2.848      0.066           D811000200733 
        22.       105.       3.80      2.915      0.067           D811000200734 
        22.       105.       4.00      2.963      0.068           D811000200735 
        22.       105.       4.21      2.901      0.067           D811000200736 
        22.       105.       4.41      2.955      0.068           D811000200737 
        22.       105.       4.61      2.931      0.068           D811000200738 
        22.       105.       4.82      2.920      0.067           D811000200739 
        22.       105.       5.02      2.933      0.067           D811000200740 
        22.       105.       5.23      2.844      0.066           D811000200741 
        22.       105.       5.43      2.752      0.064           D811000200742 
        22.       105.       5.63      2.632      0.062           D811000200743 
        22.       105.       5.84      2.643      0.062           D811000200744 
        22.       105.       6.04      2.534      0.060           D811000200745 
        22.       105.       6.25      2.475      0.059           D811000200746 
        22.       105.       6.45      2.477      0.059           D811000200747 
        22.       105.       6.65      2.332      0.057           D811000200748 
        22.       105.       6.86      2.181      0.054           D811000200749 
        22.       105.       7.06      2.092      0.052           D811000200750 
        22.       105.       7.26      2.075      0.052           D811000200751 
        22.       105.       7.47      2.031      0.051           D811000200752 
        22.       105.       7.67      1.982      0.050           D811000200753 
        22.       105.       7.87      1.930      0.050           D811000200754 
        22.       105.       8.08      1.891      0.049           D811000200755 
        22.       105.       8.28      1.766      0.046           D811000200756 
        22.       105.       8.48      1.818      0.047           D811000200757 
        22.       105.       8.69      1.710      0.045           D811000200758 
        22.       105.       8.89      1.664      0.045           D811000200759 
        22.       105.       9.09      1.677      0.045           D811000200760 
        22.       105.       9.29      1.656      0.044           D811000200761 
        22.       105.       9.50      1.590      0.043           D811000200762 
        22.       105.       9.70      1.536      0.042           D811000200763 
        22.       105.       9.90      1.494      0.041           D811000200764 
        22.       105.      10.11      1.449      0.041           D811000200765 
        22.       105.      10.31      1.337      0.038           D811000200766 
        22.       105.      10.51      1.286      0.037           D811000200767 
        22.       105.      10.71      1.312      0.038           D811000200768 
        22.       105.      10.92      1.201      0.036           D811000200769 
        22.       105.      11.12      1.133      0.034           D811000200770 
        22.       105.      11.32      1.043      0.033           D811000200771 
        22.       105.      11.53      0.915      0.030           D811000200772 
        22.       105.      11.73      0.920      0.030           D811000200773 
        22.       105.      11.93      0.945      0.031           D811000200774 
        22.       105.      12.13      0.950      0.031           D811000200775 
        22.       105.      12.34      0.931      0.030           D811000200776 
        22.       105.      12.54      0.902      0.030           D811000200777 
        22.       105.      12.74      0.887      0.030           D811000200778 
        22.       105.      12.94      0.918      0.030           D811000200779 
        22.       105.      13.15      0.949      0.031           D811000200780 
        22.       105.      13.35      0.980      0.031           D811000200781 
        22.       105.      13.55      0.966      0.031           D811000200782 
        22.       105.      13.75      0.934      0.030           D811000200783 
        22.       105.      13.96      0.861      0.029           D811000200784 
        22.       105.      14.16      0.815      0.028           D811000200785 
        22.       105.      14.36      0.704      0.026           D811000200786 
        22.       105.      14.56      0.581      0.023           D811000200787 
        22.       105.      14.77      0.501      0.021           D811000200788 
        22.       105.      14.97      0.462      0.020           D811000200789 
        22.       105.      15.17      0.464      0.020           D811000200790 
        22.       105.      15.37      0.484      0.021           D811000200791 
        22.       105.      15.57      0.443      0.020           D811000200792 
        22.       105.      15.78      0.458      0.020           D811000200793 
        22.       105.      15.98      0.407      0.019           D811000200794 
        22.       105.      16.18      0.421      0.019           D811000200795 
        22.       105.      16.38      0.409      0.019           D811000200796 
        22.       105.      16.59      0.336      0.017           D811000200797 
        22.       105.      16.79      0.275      0.015           D811000200798 
        22.       105.      16.99      0.288      0.015           D811000200799 
        22.       105.      17.19      0.318      0.016           D811000200800 
        22.       105.      17.39      0.421      0.019           D811000200801 
        22.       105.      17.60      0.570      0.023           D811000200802 
        22.       105.      17.80      0.714      0.026           D811000200803 
        22.       105.      18.00      0.729      0.026           D811000200804 
        22.       105.      18.20      0.799      0.028           D811000200805 
        22.       105.      18.41      0.796      0.028           D811000200806 
        22.       105.      18.61      0.683      0.025           D811000200807 
        22.       105.      18.81      0.589      0.023           D811000200808 
        22.       105.      19.01      0.521      0.021           D811000200809 
        22.       105.      19.21      0.544      0.022           D811000200810 
        22.       105.      19.42      0.760      0.027           D811000200811 
        22.       105.      19.62      1.163      0.035           D811000200812 
        22.       105.      19.82      1.814      0.047           D811000200813 
        22.       105.      20.02      2.825      0.065           D811000200814 
        22.       105.      20.22      3.934      0.084           D811000200815 
        22.       105.      20.43      4.742      0.098           D811000200816 
        22.       105.      20.63      4.523      0.094           D811000200817 
        22.       105.      20.83      3.655      0.079           D811000200818 
        22.       105.      21.03      2.380      0.057           D811000200819 
        22.       105.      21.23      1.407      0.040           D811000200820 
        22.       105.      21.44      0.767      0.027           D811000200821 
        22.       105.      21.64      0.400      0.018           D811000200822 
        22.       120.       3.53      2.733      0.066           D811000200823 
        22.       120.       3.74      3.016      0.071           D811000200824 
        22.       120.       3.95      3.222      0.074           D811000200825 
        22.       120.       4.16      3.334      0.076           D811000200826 
        22.       120.       4.37      3.354      0.076           D811000200827 
        22.       120.       4.58      3.187      0.073           D811000200828 
        22.       120.       4.79      3.138      0.072           D811000200829 
        22.       120.       4.99      3.250      0.074           D811000200830 
        22.       120.       5.20      3.150      0.072           D811000200831 
        22.       120.       5.41      3.034      0.070           D811000200832 
        22.       120.       5.62      2.996      0.069           D811000200833 
        22.       120.       5.83      2.967      0.069           D811000200834 
        22.       120.       6.03      2.811      0.066           D811000200835 
        22.       120.       6.24      2.790      0.066           D811000200836 
        22.       120.       6.45      2.796      0.066           D811000200837 
        22.       120.       6.65      2.579      0.062           D811000200838 
        22.       120.       6.86      2.510      0.061           D811000200839 
        22.       120.       7.07      2.478      0.060           D811000200840 
        22.       120.       7.27      2.424      0.059           D811000200841 
        22.       120.       7.48      2.266      0.056           D811000200842 
        22.       120.       7.69      2.258      0.056           D811000200843 
        22.       120.       7.89      2.085      0.053           D811000200844 
        22.       120.       8.10      2.071      0.053           D811000200845 
        22.       120.       8.31      1.970      0.051           D811000200846 
        22.       120.       8.51      1.945      0.050           D811000200847 
        22.       120.       8.72      1.907      0.050           D811000200848 
        22.       120.       8.92      1.925      0.050           D811000200849 
        22.       120.       9.13      1.743      0.047           D811000200850 
        22.       120.       9.34      1.755      0.047           D811000200851 
        22.       120.       9.54      1.710      0.046           D811000200852 
        22.       120.       9.75      1.665      0.045           D811000200853 
        22.       120.       9.95      1.618      0.044           D811000200854 
        22.       120.      10.16      1.558      0.043           D811000200855 
        22.       120.      10.36      1.344      0.039           D811000200856 
        22.       120.      10.57      1.370      0.040           D811000200857 
        22.       120.      10.77      1.319      0.039           D811000200858 
        22.       120.      10.98      1.317      0.039           D811000200859 
        22.       120.      11.19      1.184      0.036           D811000200860 
        22.       120.      11.39      1.139      0.035           D811000200861 
        22.       120.      11.60      0.991      0.032           D811000200862 
        22.       120.      11.80      0.932      0.031           D811000200863 
        22.       120.      12.01      0.978      0.032           D811000200864 
        22.       120.      12.21      0.998      0.032           D811000200865 
        22.       120.      12.42      0.989      0.032           D811000200866 
        22.       120.      12.62      0.961      0.031           D811000200867 
        22.       120.      12.83      0.860      0.029           D811000200868 
        22.       120.      13.03      0.937      0.031           D811000200869 
        22.       120.      13.24      1.010      0.032           D811000200870 
        22.       120.      13.44      1.114      0.035           D811000200871 
        22.       120.      13.65      1.079      0.034           D811000200872 
        22.       120.      13.85      1.032      0.033           D811000200873 
        22.       120.      14.05      0.924      0.031           D811000200874 
        22.       120.      14.26      0.804      0.028           D811000200875 
        22.       120.      14.46      0.665      0.025           D811000200876 
        22.       120.      14.67      0.544      0.022           D811000200877 
        22.       120.      14.87      0.487      0.021           D811000200878 
        22.       120.      15.08      0.497      0.021           D811000200879 
        22.       120.      15.28      0.497      0.021           D811000200880 
        22.       120.      15.49      0.469      0.020           D811000200881 
        22.       120.      15.69      0.437      0.020           D811000200882 
        22.       120.      15.90      0.409      0.019           D811000200883 
        22.       120.      16.10      0.403      0.019           D811000200884 
        22.       120.      16.30      0.379      0.018           D811000200885 
        22.       120.      16.51      0.354      0.017           D811000200886 
        22.       120.      16.71      0.301      0.016           D811000200887 
        22.       120.      16.92      0.285      0.016           D811000200888 
        22.       120.      17.12      0.317      0.016           D811000200889 
        22.       120.      17.33      0.421      0.019           D811000200890 
        22.       120.      17.53      0.574      0.023           D811000200891 
        22.       120.      17.73      0.739      0.027           D811000200892 
        22.       120.      17.94      0.777      0.028           D811000200893 
        22.       120.      18.14      0.800      0.028           D811000200894 
        22.       120.      18.35      0.709      0.026           D811000200895 
        22.       120.      18.55      0.627      0.024           D811000200896 
        22.       120.      18.76      0.539      0.022           D811000200897 
        22.       120.      18.96      0.465      0.020           D811000200898 
        22.       120.      19.16      0.461      0.020           D811000200899 
        22.       120.      19.37      0.574      0.023           D811000200900 
        22.       120.      19.57      0.844      0.029           D811000200901 
        22.       120.      19.78      1.220      0.037           D811000200902 
        22.       120.      19.98      1.846      0.048           D811000200903 
        22.       120.      20.18      2.449      0.059           D811000200904 
        22.       120.      20.39      3.086      0.070           D811000200905 
        22.       120.      20.59      3.233      0.073           D811000200906 
        22.       120.      20.79      2.853      0.066           D811000200907 
        22.       120.      21.00      2.269      0.056           D811000200908 
        22.       120.      21.20      1.385      0.040           D811000200909 
        22.       120.      21.41      0.775      0.027           D811000200910 
        22.       120.      21.61      0.436      0.020           D811000200911 
        22.       120.      21.81      0.241      0.014           D811000200912 
        22.       120.      22.02      0.157      0.011           D811000200913 
        22.       135.       3.66      2.925      0.082           D811000200914 
        22.       135.       3.87      3.106      0.085           D811000200915 
        22.       135.       4.09      3.222      0.087           D811000200916 
        22.       135.       4.30      3.417      0.090           D811000200917 
        22.       135.       4.51      3.236      0.087           D811000200918 
        22.       135.       4.72      3.197      0.086           D811000200919 
        22.       135.       4.93      3.058      0.083           D811000200920 
        22.       135.       5.15      3.086      0.084           D811000200921 
        22.       135.       5.36      3.027      0.082           D811000200922 
        22.       135.       5.57      3.046      0.083           D811000200923 
        22.       135.       5.78      3.041      0.083           D811000200924 
        22.       135.       5.99      2.887      0.080           D811000200925 
        22.       135.       6.20      2.944      0.081           D811000200926 
        22.       135.       6.41      2.620      0.074           D811000200927 
        22.       135.       6.62      2.551      0.073           D811000200928 
        22.       135.       6.83      2.497      0.072           D811000200929 
        22.       135.       7.04      2.481      0.072           D811000200930 
        22.       135.       7.25      2.403      0.070           D811000200931 
