ENTRY            41454   20260310                             422741454000    1 
SUBENT        41454001   20260310                             422741454001    1 
BIB                 12         23                                 41454001    2 
TITLE      Cascade gamma-decay of compound states of 60Co nucleus 41454001    3 
AUTHOR     (A.M.Sukhovoi,V.A.Khitrov)                             41454001    4 
INSTITUTE  (4ZZZDUB)                                              41454001    5 
REFERENCE  (J,BAS,67,796,2003)                                    41454001    6 
           Engl.translation of J,IZV,67,722,2003                  41454001    7 
           (J,IZV,67,722,2003) Issue 5.                           41454001    8 
FACILITY   (REAC,4ZZZDUB) IBR-30 reactor                          41454001    9 
SAMPLE      No information                                        41454001   10 
DETECTOR   (GE) Two Ge-detectors,relative efficiency 10% and 15%  41454001   11 
           were used to detect gamma-gamma coincidence during     41454001   12 
           600 h.                                                 41454001   13 
METHOD     (COINC)                                                41454001   14 
           Resolution 3 keV at the edges, 4.7 keV at the center.  41454001   15 
INC-SOURCE (REAC)                                                 41454001   16 
INC-SPECT   Thermal neutrons.                                     41454001   17 
ERR-ANALYS (DATA-ERR) Errors not specified                        41454001   18 
HISTORY    (20050829C)  Compiled at CJD (M.M.)                    41454001   19 
           (20051108A) SUB.002,.003 were corrected  (M.M.)        41454001   20 
           (20141020U) Engl.translation ref. was added.           41454001   21 
           Article was checked, BIB information was updated.      41454001   22 
           (20260310A) (N,2G) -> (N,G), REL -> MSC in REACTION    41454001   23 
           according to a comment of N.Otsuka (NDS, IAEA).        41454001   24 
            STATUS was corrected fro new rules.                   41454001   25 
ENDBIB              23          0                                 41454001   26 
COMMON               1          3                                 41454001   27 
EN-DUMMY                                                          41454001   28 
EV                                                                41454001   29 
   2.53E-02                                                       41454001   30 
ENDCOMMON            3          0                                 41454001   31 
ENDSUBENT           30          0                                 4145400199999 
SUBENT        41454002   20260310                             422741454002    1 
BIB                  5         12                                 41454002    2 
REACTION   (27-CO-59(N,G)27-CO-60,,SPC,,SPA/MSC)  Intensity of    41454002    3 
            two-gamma cascade for Co-60 compound nucleus          41454002    4 
EN-SEC     (E1,G) First gamma energy                              41454002    5 
           (E2,G) Second gamma energy                             41454002    6 
            (E-LVL,27-CO-60)) Energy of cascade intermediate level41454002    7 
COMMENT     Of compiler:                                          41454002    8 
             2. data were given in particles/1.e5 decays units    41454002    9 
                in article, recalculated by compiler              41454002   10 
HISTORY    (20051207A) Error in DATA value for E1=5660.2,E2=1554.541454002   11 
              was corrected according to Tables, received from    41454002   12 
            author A.Sukhovoy.  (M.M.)                            41454002   13 
STATUS     (TABLE,,A.M.Sukhovoi,J,BAS,67,796,2003) Table 1        41454002   14 
ENDBIB              12          0                                 41454002   15 
NOCOMMON             0          0                                 41454002   16 
DATA                 6        218                                 41454002   17 
E1         E2         DATA       DATA-ERR   E-LVL      E-LVL-ERR  41454002   18 
4623.2     2591.5     0.177      0.04       2868.7     0.4        41454002  156 
4606.8     2885.1     0.162      0.032      2885.1     0.4        41454002  157 
4606.8     2607.9     0.178      0.04       2885.1     0.4        41454002  158 
4606.8     2449.4     0.054      0.019      2885.1     0.4        41454002  159 
4594.9     2897.0     0.054      0.02       2897.0     0.8        41454002  160 
4588.6     2903.3     0.039      0.016      2903.3     1.2        41454002  161 
4564.4     2927.5     0.09       0.024      2927.5     0.6        41454002  162 
4529.0     2962.9     0.084      0.022      2962.9     0.6        41454002  163 
4524.3     2531.9     0.048      0.019      2967.6     1.0        41454002  164 
4516.0     2975.9     0.076      0.022      2975.9     0.6        41454002  165 
4480.7     2952.6     0.061      0.019      3011.2     1.2        41454002  166 
4480.7     2722.8     0.06       0.024      3011.2     1.2        41454002  167 
4456.2     3035.7     0.056      0.02       3035.7     0.8        41454002  168 
4432.7     2770.8     0.058      0.026      3059.2     1.0        41454002  169 
4423.7     2526.4     0.037      0.014      3068.2     0.6        41454002  170 
4400.9     2802.6     0.063      0.024      3091.0     1.0        41454002  171 
4394.0     3097.9     0.064      0.022      3097.9     1.6        41454002  172 
4394.0     2820.7     0.099      0.032      3097.9     1.6        41454002  173 
4394.0     2662.2     0.043      0.019      3097.9     1.6        41454002  174 
4376.4     3115.5     0.126      0.026      3115.5     1.9        41454002  175 
4376.4     2838.3     0.145      0.037      3115.5     1.9        41454002  176 
4376.4     2827.1     0.055      0.024      3115.5     1.9        41454002  177 
4370.7     2832.8     0.07       0.026      3121.2     0.9        41454002  178 
4340.4     3092.9     0.047      0.018      3151.5     1.0        41454002  179 
4333.9     3099.4     0.044      0.018      3158.0     1.1        41454002  180 
4312.1     2891.4     0.073      0.026      3179.8     0.8        41454002  181 
4287.0     2927.7     0.061      0.029      3204.9     1.2        41454002  182 
4274.3     3217.6     0.056      0.02       3217.6     0.6        41454002  183 
4274.3     2940.4     0.09       0.03       3217.6     0.6        41454002  184 
4274.3     2781.9     0.046      0.02       3217.6     0.6        41454002  185 
4260.0     2617.4     0.058      0.023      3231.9     1.0        41454002  186 
4255.0     2959.7     0.082      0.033      3236.9     1.1        41454002  187 
4219.0     2658.3     0.075      0.023      3272.9     0.8        41454002  188 
4209.0     3282.9     0.168      0.034      3282.9     1.8        41454002  189 
4209.0     3224.3     0.076      0.021      3282.9     1.8        41454002  190 
4209.0     3005.7     0.099      0.033      3282.9     1.8        41454002  191 
4209.0     2994.5     0.259      0.043      3282.9     1.8        41454002  192 
4209.0     2847.2     0.05       0.019      3282.9     1.8        41454002  193 
4209.0     2668.3     0.054      0.023      3282.9     1.8        41454002  194 
4151.8     3062.9     0.074      0.033      3340.1     2.0        41454002  195 
4151.8     2904.4     0.057      0.019      3340.1     2.0        41454002  196 
