           targets were determined by weighting before and after  A1485007    6 
           evaporation.                                           A1485007    7 
ERR-ANALYS (DATA-ERR) No information about source of uncertainty  A1485007    8 
STATUS     (CURVE,,J.L.Duggan+,J,NP,46,336,1963) Fig. 16          A1485007    9 
HISTORY    (20251006A) SD: SF9=EXP deleted from REACTION code.    A1485007   10 
           STATUS updated. EN-ERR->EN-ERR-DIG.                    A1485007   11 
ENDBIB               9          0                                 A1485007   12 
COMMON               3          3                                 A1485007   13 
E-LVL      ANG        EN-ERR-DIG                                  A1485007   14 
MEV        ADEG       MEV                                         A1485007   15 
         0.         0.      0.006                                 A1485007   16 
ENDCOMMON            3          0                                 A1485007   17 
DATA                 3          8                                 A1485007   18 
EN         DATA-CM    DATA-ERR                                    A1485007   19 
MEV        MB/SR      MB/SR                                       A1485007   20 
      1.250      0.420      0.018                                 A1485007   21 
      1.501      0.632      0.042                                 A1485007   22 
      1.711      0.898      0.054                                 A1485007   23 
      1.809      1.182      0.072                                 A1485007   24 
      2.012      1.599      0.096                                 A1485007   25 
      2.269      1.980      0.109                                 A1485007   26 
      2.521      1.885      0.121                                 A1485007   27 
      2.716      1.645      0.097                                 A1485007   28 
ENDDATA             10          0                                 A1485007   29 
ENDSUBENT           28          0                                 A148500799999 
SUBENT        A1485008   20251006                             A128A1485008    1 
BIB                  5         10                                 A1485008    2 
REACTION   (3-LI-7(HE3,N)5-B-9,PAR,DA,,REL)                       A1485008    3 
            No information about units.                           A1485008    4 
SAMPLE     The Li targets were made by evaporating pure Li metal  A1485008    5 
           of LiF onto platinum blanks. The thickness of the LiF  A1485008    6 
           targets were determined by weighting before and after  A1485008    7 
           evaporation.                                           A1485008    8 
ERR-ANALYS (DATA-ERR) No information about source of uncertainty  A1485008    9 
STATUS     (CURVE,,J.L.Duggan+,J,NP,46,336,1963) Fig. 17          A1485008   10 
HISTORY    (20251006A) SD: SF9=EXP deleted from REACTION code.    A1485008   11 
           STATUS updated. ANG-ERR->ANG-ERR-D.                    A1485008   12 
ENDBIB              10          0                                 A1485008   13 
COMMON               3          3                                 A1485008   14 
EN         E-LVL      ANG-ERR-D                                   A1485008   15 
MEV        MEV        ADEG                                        A1485008   16 
        2.1         0.        0.5                                 A1485008   17 
ENDCOMMON            3          0                                 A1485008   18 
DATA                 3          9                                 A1485008   19 
ANG-CM     DATA-CM    DATA-ERR                                    A1485008   20 
ADEG       ARB-UNITS  ARB-UNITS                                   A1485008   21 
        0.0       4.72       0.25                                 A1485008   22 
       20.0       3.37       0.23                                 A1485008   23 
       40.0       2.33       0.23                                 A1485008   24 
       60.0       1.76       0.13                                 A1485008   25 
       80.0       1.75       0.15                                 A1485008   26 
      100.0       1.73       0.10                                 A1485008   27 
      121.0       2.18       0.16                                 A1485008   28 
      141.0       3.10       0.21                                 A1485008   29 
      152.1       3.69       0.18                                 A1485008   30 
ENDDATA             11          0                                 A1485008   31 
ENDSUBENT           30          0                                 A148500899999 
SUBENT        A1485009   20251006                             A128A1485009    1 
BIB                  5         12                                 A1485009    2 
REACTION   (6-C-13(HE3,N)8-O-15,PAR,DA,,REL)                      A1485009    3 
            No information about units.                           A1485009    4 
SAMPLE     The 13C targets were made by cracking methyl iodide,   A1485009    5 
           enriched to about 60% in 13C, onto heated platinum     A1485009    6 
           blanks. The thickness of the 13C targets are not known,A1485009    7 
           therefore the cross sections measured with them are    A1485009    8 
           given only in relative units.                          A1485009    9 
ERR-ANALYS (DATA-ERR) No information about source of uncertainty  A1485009   10 
STATUS     (CURVE,,J.L.Duggan+,J,NP,46,336,1963) Figs 19, 20      A1485009   11 
HISTORY    (20251006A) SD: SF9=EXP deleted from REACTION code.    A1485009   12 
           STATUS updated. EN-ERR->EN-ERR-DIG; DATA-ERR->ERR-DIG. A1485009   13 
           Values from Subent 010 added.                          A1485009   14 
ENDBIB              12          0                                 A1485009   15 
COMMON               3          3                                 A1485009   16 
ANG        EN-ERR-DIG ERR-DIG                                     A1485009   17 
ADEG       MEV        ARB-UNITS                                   A1485009   18 
         0.      0.005       0.06                                 A1485009   19 
ENDCOMMON            3          0                                 A1485009   20 
DATA                 4         20                                 A1485009   21 
E-LVL      EN-CM      DATA-CM    DATA-ERR                         A1485009   22 
MEV        MEV        ARB-UNITS  ARB-UNITS                        A1485009   23 
         0.      1.387       1.85                                 A1485009   24 
         0.      1.473       2.51       0.51                      A1485009   25 
         0.      1.560       4.19       0.63                      A1485009   26 
         0.      1.587       3.17       0.46                      A1485009   27 
         0.      1.682       2.05       0.34                      A1485009   28 
         0.      1.751       2.24       0.29                      A1485009   29 
         0.      1.818       1.63       0.34                      A1485009   30 
         0.      1.864       1.76       0.40                      A1485009   31 
         0.      1.962       2.93       0.80                      A1485009   32 
         0.      2.079       9.08       0.91                      A1485009   33 
       6.15      1.386       0.77                                 A1485009   34 
       6.15      1.470       1.50       0.29                      A1485009   35 
       6.15      1.563       2.00       0.41                      A1485009   36 
       6.15      1.583       1.77       0.29                      A1485009   37 
       6.15      1.681       2.33                                 A1485009   38 
       6.15      1.752       2.64       0.24                      A1485009   39 
       6.15      1.821       3.30       0.35                      A1485009   40 
       6.15      1.863       3.67       0.35                      A1485009   41 
       6.15      1.955       4.69       0.47                      A1485009   42 
       6.15      2.088       8.30       0.41                      A1485009   43 
ENDDATA             22          0                                 A1485009   44 
ENDSUBENT           43          0                                 A148500999999 
NOSUBENT      A1485010   20251006                             A128A1485010    1 
SUBENT        A1485011   20251006                             A128A1485011    1 
BIB                  4         11                                 A1485011    2 
REACTION   (6-C-13(HE3,N)8-O-15,PAR,DA,,REL)                      A1485011    3 
            No information about units.                           A1485011    4 
SAMPLE     The 13C targets were made by cracking methyl iodide,   A1485011    5 
           enriched to about 60% in 13C, onto heated platinum     A1485011    6 
           blanks. The thickness of the 13C targets are not known,A1485011    7 
           therefore the cross sections measured with them are    A1485011    8 
           given only in relative units.                          A1485011    9 
STATUS     (CURVE,,J.L.Duggan+,J,NP,46,336,1963) Figs 21, 22      A1485011   10 
HISTORY    (20251006A) SD: SF9=EXP deleted from REACTION code.    A1485011   11 
           STATUS updated. EN-ERR->EN-ERR-DIG; DATA-ERR->ERR-DIG. A1485011   12 
           Values from Subent 012 added.                          A1485011   13 
ENDBIB              11          0                                 A1485011   14 
COMMON               3          3                                 A1485011   15 
ANG        EN-ERR-DIG ERR-DIG                                     A1485011   16 
ADEG       MEV        ARB-UNITS                                   A1485011   17 
        90.      0.003      0.005                                 A1485011   18 
ENDCOMMON            3          0                                 A1485011   19 
DATA                 3         19                                 A1485011   20 
E-LVL      EN         DATA                                        A1485011   21 
MEV        MEV        ARB-UNITS                                   A1485011   22 
         0.      1.600      0.168                                 A1485011   23 
         0.      1.716      0.194                                 A1485011   24 
         0.      1.849      0.238                                 A1485011   25 
         0.      1.981      0.296                                 A1485011   26 
         0.      2.100      0.392                                 A1485011   27 
         0.      2.206      0.417                                 A1485011   28 
         0.      2.423      0.709                                 A1485011   29 
         0.      2.548      1.033                                 A1485011   30 
         0.      2.670      1.208                                 A1485011   31 
       6.15      1.596      0.004                                 A1485011   32 
       6.15      1.711      0.070                                 A1485011   33 
       6.15      1.843      0.177                                 A1485011   34 
       6.15      1.975      0.237                                 A1485011   35 
       6.15      2.098      0.293                                 A1485011   36 
       6.15      2.209      0.403                                 A1485011   37 
       6.15      2.267      0.453                                 A1485011   38 
       6.15      2.415      0.573                                 A1485011   39 
       6.15      2.565      0.656                                 A1485011   40 
       6.15      2.663      0.673                                 A1485011   41 
ENDDATA             21          0                                 A1485011   42 
ENDSUBENT           41          0                                 A148501199999 
NOSUBENT      A1485012   20251006                             A128A1485012    1 
SUBENT        A1485013   20251006                             A128A1485013    1 
BIB                  5         12                                 A1485013    2 
REACTION   (6-C-13(HE3,N)8-O-15,PAR,DA,,REL)                      A1485013    3 
            No information about units.                           A1485013    4 
SAMPLE     The 13C targets were made by cracking methyl iodide,   A1485013    5 
           enriched to about 60% in 13C, onto heated platinum     A1485013    6 
           blanks. The thickness of the 13C targets are not known,A1485013    7 
           therefore the cross sections measured with them are    A1485013    8 
           given only in relative units.                          A1485013    9 
ERR-ANALYS (DATA-ERR) No information about source of uncertainty  A1485013   10 
STATUS     (CURVE,,J.L.Duggan+,J,NP,46,336,1963) Figs 23, 24      A1485013   11 
HISTORY    (20251006A) SD: SF9=EXP deleted from REACTION code.    A1485013   12 
           STATUS updated. EN-ERR->ANG-ERR-D; DATA-ERR->ERR-DIG.  A1485013   13 
           Values from Subent 014 added.                          A1485013   14 
ENDBIB              12          0                                 A1485013   15 
COMMON               3          3                                 A1485013   16 
EN         ANG-ERR-D  ERR-DIG                                     A1485013   17 
MEV        ADEG       ARB-UNITS                                   A1485013   18 
       2.66        0.7      0.007                                 A1485013   19 
ENDCOMMON            3          0                                 A1485013   20 
DATA                 4         24                                 A1485013   21 
E-LVL      ANG        DATA       DATA-ERR                         A1485013   22 
MEV        ADEG       ARB-UNITS  ARB-UNITS                        A1485013   23 
         0.        0.2      1.543      0.122                      A1485013   24 
         0.        6.7      1.427      0.123                      A1485013   25 
         0.       11.2      1.023      0.086                      A1485013   26 
         0.       21.7      0.777      0.072                      A1485013   27 
         0.       32.1      0.458      0.043                      A1485013   28 
         0.       41.8      0.168      0.029                      A1485013   29 
         0.       51.2      0.174      0.029                      A1485013   30 
         0.       61.1      0.568      0.058                      A1485013   31 
         0.       70.8      0.724      0.072                      A1485013   32 
         0.       89.6      1.217      0.173                      A1485013   33 
         0.      108.4      1.221      0.187                      A1485013   34 
         0.      118.2      1.039      0.151                      A1485013   35 
         0.      136.7      0.827      0.122                      A1485013   36 
       6.15        0.0      0.998      0.059                      A1485013   37 
       6.15       22.8      0.952      0.050                      A1485013   38 
       6.15       40.1      0.905      0.049                      A1485013   39 
       6.15       55.4      0.853      0.054                      A1485013   40 
       6.15       66.2      0.761      0.040                      A1485013   41 
       6.15       83.3      0.566      0.044                      A1485013   42 
       6.15       96.0      0.533      0.044                      A1485013   43 
       6.15      105.0      0.564      0.059                      A1485013   44 
       6.15      115.5      0.610      0.059                      A1485013   45 
       6.15      135.1      0.905      0.104                      A1485013   46 
       6.15      145.1      1.168      0.124                      A1485013   47 
ENDDATA             26          0                                 A1485013   48 
ENDSUBENT           47          0                                 A148501399999 
NOSUBENT      A1485014   20251006                             A128A1485014    1 
ENDENTRY            14          0                                 A148599999999 
