ENTRY            C3100   20260113                             C253C3100000    1 
SUBENT        C3100001   20260113                             C253C3100001    1 
BIB                 10         27                                 C3100001    2 
TITLE      Cross section measurement of 14N(p,gamma)15O in the    C3100001    3 
           CNO cycle                                              C3100001    4 
AUTHOR     (Q.Li,J.Gorres,R.J.deBoer,G.Imbriani,A.Best,A.Kontos,  C3100001    5 
           P.J.Leblanc,E.Uberseder,M.Wiescher)                    C3100001    6 
REFERENCE  (J,PR/C,93,055806,2016)                                C3100001    7 
           #doi:10.1103/PhysRevC.93.055806                        C3100001    8 
INSTITUTE  (1USANOT,2ITYNAP)                                      C3100001    9 
FACILITY   (VDG,1USANOT) The 1MV JN and 4 MV KN Van de Graaff     C3100001   10 
           accelerators located at the nuclear science            C3100001   11 
           laboratory at the University of Notre Dame.            C3100001   12 
INC-SPECT  Typical proton-beam intensities were between 10 and    C3100001   13 
           40 miroA.                                              C3100001   14 
DETECTOR   (HPGE)                                                 C3100001   15 
SAMPLE     Both TiN sputtered targets and implanted-14N solid     C3100001   16 
           targets were utilized. The natural TiN targets (50     C3100001   17 
           nm) were produced by sputtering a layer of Ti onto a   C3100001   18 
           Ta backing in a nitrogen atmosphere. The targets were  C3100001   19 
           made at the University of Bochum by implanting 14N     C3100001   20 
           ions onto a Ta backing using a 500 kV                  C3100001   21 
           Cockcroft-Walton accelerator. Several thin targets     C3100001   22 
           and one thick target were produced. The energy loss    C3100001   23 
           of the protons in the thin targets at the Ep = 278     C3100001   24 
           keV resonance was between 8.4 and 14.8 keV with an     C3100001   25 
           uncertainty of ~6%. The thick target corresponded to   C3100001   26 
           a proton energy loss of 72.4+-5.7 keV.                 C3100001   27 
STATUS     (APRVD) Approved by R.J.deBoer on January 16, 2026.    C3100001   28 
HISTORY    (20260113C) BP                                         C3100001   29 
ENDBIB              27          0                                 C3100001   30 
NOCOMMON             0          0                                 C3100001   31 
ENDSUBENT           30          0                                 C310000199999 
SUBENT        C3100002   20260113                             C253C3100002    1 
BIB                  5         28                                 C3100002    2 
REACTION   (7-N-14(P,G)8-O-15,PAR,DA)                             C3100002    3 
METHOD     (GSPEC) For the angular distribution setup, five 20%   C3100002    4 
           high-purity-germanium (HPGe) detectors were placed at  C3100002    5 
           thetalab = 0, 45, 90(270), 135(225), and 150 degrees   C3100002    6 
           relative to the beam axis. The ground state is a       C3100002    7 
           complex mixture of direct and resonance capture        C3100002    8 
           components and the interferences between them. The     C3100002    9 
           experimental angular distribution can be described as  C3100002   10 
           Wexpt(theta)=a0*(1+Sum ai*Qi*Pi(cos theta)), where     C3100002   11 
           ai are the angular distribution coefficients and Qi    C3100002   12 
           are the attenuation factors due to the finite size of  C3100002   13 
           the detector. The Pi(cos theta) are the Legendre       C3100002   14 
           polynomials of order i. The Qi, which are geometric    C3100002   15 
           correction factors for the finite solid angle subtendedC3100002   16 
            by the detector.                                      C3100002   17 
ERR-ANALYS (ERR-S) Statistical uncertainties.                     C3100002   18 
           (ERR-SYS) Systematic uncertainty.                      C3100002   19 
CORRECTION Angular attenuation coefficients used for solid angle  C3100002   20 
           corrections:                                           C3100002   21 
           Q-coeff    Value                                       C3100002   22 
           0          1                                           C3100002   23 
           1          0.923                                       C3100002   24 
           2          0.9                                         C3100002   25 
           3          0.867                                       C3100002   26 
           4          0.822                                       C3100002   27 
STATUS     (TABLE,,Q.Li+,J,PR/C,93,055806,2016) Data were         C3100002   28 
           provided by R.J.deBoer on January 8, 2026.             C3100002   29 
           (COREL,C3100004) Data from second setup.               C3100002   30 
ENDBIB              28          0                                 C3100002   31 
COMMON               2          3                                 C3100002   32 
E-LVL      ERR-SYS                                                C3100002   33 
MEV        PER-CENT                                               C3100002   34 
        0.0        7.0                                            C3100002   35 
ENDCOMMON            3          0                                 C3100002   36 
DATA                 4        181                                 C3100002   37 
       135.     3.3739  1.608E-07  1.187E-08                      C3100002  188 
       135.     3.3985  3.058E-07  1.895E-08                      C3100002  189 
       135.     3.4242  3.415E-07  1.426E-08                      C3100002  190 
       135.     3.4474  1.052E-07  5.259E-09                      C3100002  191 
       135.     3.5216  6.926E-08  6.908E-09                      C3100002  192 
       135.     3.5496  8.728E-08  6.721E-09                      C3100002  193 
       135.      3.575  1.057E-07  7.403E-09                      C3100002  194 
       135.     3.5989  1.005E-07  6.721E-09                      C3100002  195 
       150.     0.8946  1.479E-08  2.496E-09                      C3100002  196 
       150.     1.1996  1.831E-08  2.588E-09                      C3100002  197 
       150.     1.2975  2.798E-08  4.232E-09                      C3100002  198 
       150.     1.3978  4.195E-08  6.200E-09                      C3100002  199 
       150.     1.4975  4.491E-08  6.183E-09                      C3100002  200 
       150.     1.5971  7.852E-08  8.432E-09                      C3100002  201 
       150.     1.6474  8.385E-08  8.233E-09                      C3100002  202 
       150.     1.9175  2.480E-07  1.469E-08                      C3100002  203 
       150.      1.918  2.236E-07  2.114E-08                      C3100002  204 
       150.     1.9978  3.334E-07  1.979E-08                      C3100002  205 
       150.     2.0963  4.624E-07  3.435E-08                      C3100002  206 
       150.     2.1991  8.113E-07  4.855E-08                      C3100002  207 
       150.     2.2934  1.229E-06  8.398E-08                      C3100002  208 
       150.     2.4382  8.338E-07  4.887E-08                      C3100002  209 
       150.     2.4518  7.541E-07  4.084E-08                      C3100002  210 
       150.     2.5421  3.436E-07  1.995E-08                      C3100002  211 
       150.     2.5687  3.670E-07  2.752E-08                      C3100002  212 
       150.     2.6679  1.637E-07  1.365E-08                      C3100002  213 
       150.     2.7697  1.115E-07  1.015E-08                      C3100002  214 
       150.     2.8793  9.278E-08  9.952E-09                      C3100002  215 
       150.     3.2478  1.642E-07  1.629E-08                      C3100002  216 
       150.      3.324  1.430E-07  2.403E-08                      C3100002  217 
       150.     3.3486  1.561E-07  2.400E-08                      C3100002  218 
       150.     3.3739  1.435E-07  2.672E-08                      C3100002  219 
       150.     3.4242  1.594E-07  1.315E-08                      C3100002  220 
ENDDATA            183          0                                 C3100002  221 
ENDSUBENT          220          0                                 C310000299999 
SUBENT        C3100003   20260113                             C253C3100003    1 
BIB                  5         27                                 C3100003    2 
REACTION   (7-N-14(P,G)8-O-15,PAR,DA)                             C3100003    3 
METHOD     (GSPEC) For the angular distribution setup, five 20%   C3100003    4 
           high-purity-germanium (HPGe) detectors were placed at  C3100003    5 
           thetalab = 0, 45, 90(270), 135(225), and 150 degrees   C3100003    6 
           relative to the beam axis. The Ex=6.79 MeV transition  C3100003    7 
           is dominated by radiative direct capture. The          C3100003    8 
           experimental angular distribution can be described as  C3100003    9 
           Wexpt(theta)=a0*(1+Sum ai*Qi*Pi(cos theta)), where     C3100003   10 
           ai are the angular distribution coefficients and Qi    C3100003   11 
           are the attenuation factors due to the finite size of  C3100003   12 
           the detector. The Pi(cos theta) are the Legendre       C3100003   13 
           polynomials of order i. The Qi, which are geometric    C3100003   14 
           correction factors for the finite solid angle subtendedC3100003   15 
            by the detector.                                      C3100003   16 
ERR-ANALYS (ERR-S) Statistical uncertainties.                     C3100003   17 
           (ERR-SYS) Systematic uncertainty.                      C3100003   18 
CORRECTION Angular attenuation coefficients used for solid angle  C3100003   19 
           corrections:                                           C3100003   20 
           Q-coeff    Value                                       C3100003   21 
           0          1                                           C3100003   22 
           1          0.923                                       C3100003   23 
           2          0.9                                         C3100003   24 
           3          0.867                                       C3100003   25 
           4          0.822                                       C3100003   26 
STATUS     (TABLE,,Q.Li+,J,PR/C,93,055806,2016) Data were         C3100003   27 
           provided by R.J.deBoer on January 8, 2026.             C3100003   28 
           (COREL,C3100005) Data from second setup.               C3100003   29 
ENDBIB              27          0                                 C3100003   30 
COMMON               2          3                                 C3100003   31 
E-LVL      ERR-SYS                                                C3100003   32 
MEV        PER-CENT                                               C3100003   33 
       6.79        7.0                                            C3100003   34 
ENDCOMMON            3          0                                 C3100003   35 
DATA                 4        158                                 C3100003   36 
ANG        EN         DATA       ERR-S                            C3100003   37 
ADEG       MEV        B/SR       B/SR                             C3100003   38 
         0.     2.4728  7.281E-08  1.994E-08                      C3100003   39 
         0.     2.5166  6.270E-08  1.276E-08                      C3100003   40 
         0.     2.5421  3.352E-08  8.690E-09                      C3100003   41 
         0.     2.6679  2.352E-08  6.646E-09                      C3100003   42 
         0.     2.7697  2.573E-08  5.080E-09                      C3100003   43 
         0.     2.9489  2.985E-08  6.870E-09                      C3100003   44 
         0.      3.324  2.392E-08  9.996E-09                      C3100003   45 
         0.     3.3486  3.809E-08  1.278E-08                      C3100003   46 
         0.     3.4242  7.572E-08  1.643E-08                      C3100003   47 
         0.     3.4722  2.795E-08  8.317E-09                      C3100003   48 
         0.     3.4997  3.788E-08  1.077E-08                      C3100003   49 
        45.     0.6493  1.883E-08  4.823E-10                      C3100003   50 
        45.     0.6984  2.145E-08  3.276E-10                      C3100003   51 
        45.      0.798  2.749E-08  4.678E-10                      C3100003   52 
        45.     0.8946  3.496E-08  9.788E-10                      C3100003   53 
        45.     0.9963  4.305E-08  1.700E-09                      C3100003   54 
        45.     1.2975  7.789E-08  1.982E-09                      C3100003   55 
        45.     1.4975  9.902E-08  3.428E-09                      C3100003   56 
        45.     1.5971  1.194E-07  3.915E-09                      C3100003   57 
        45.     1.9175  1.516E-07  4.916E-09                      C3100003   58 
        45.      1.918  1.447E-07  7.017E-09                      C3100003   59 
        45.     1.9978  1.582E-07  5.416E-09                      C3100003   60 
        45.     2.0963  1.792E-07  9.404E-09                      C3100003   61 
        45.     2.1991  1.932E-07  1.050E-08                      C3100003   62 
        45.     2.2934  2.134E-07  1.600E-08                      C3100003   63 
        45.     2.4382  2.256E-07  1.574E-08                      C3100003   64 
        45.     2.4518  2.429E-07  1.560E-08                      C3100003   65 
        45.     2.4572  2.432E-07  1.592E-08                      C3100003   66 
        45.     2.4627  2.280E-07  1.633E-08                      C3100003   67 
        45.     2.4678  2.571E-07  1.662E-08                      C3100003   68 
        45.     2.4728  2.542E-07  2.240E-08                      C3100003   69 
        45.     2.4778  2.386E-07  2.473E-08                      C3100003   70 
