ENTRY            F0928   20251227                             F107F0928000    1 
SUBENT        F0928001   20251227                             F107F0928001    1 
BIB                  7         14                                 F0928001    2 
TITLE      A study of some 3He induced reactions on 13C and the   F0928001    3 
           structure of 16O                                       F0928001    4 
AUTHOR     (H.R.Weller,N.R.Roberson,D.R.Tilley)                   F0928001    5 
INSTITUTE  (1USADKE,1USANCS)                                      F0928001    6 
REFERENCE  (J,NP/A,122,529,1968)                                  F0928001    7 
           #doi:10.1016/0375-9474(68)90575-7                      F0928001    8 
FACILITY   (VDG,1USADKE) 4 MeV Van de Graaff accelerator.         F0928001    9 
INC-SOURCE The doubly ionized 3He beam was used which provided    F0928001   10 
           0.2 mu-A of 3He particles on target with energies up   F0928001   11 
           to 8.2 MeV.                                            F0928001   12 
HISTORY    (20080425C)                                            F0928001   13 
           (20100217A) Correction was made in the AUTHOR record.  F0928001   14 
           (20230126A) Corrections were done in Sub 007, 008.     F0928001   15 
           (20251227U) SD: Corrections in all Subents.            F0928001   16 
ENDBIB              14          0                                 F0928001   17 
NOCOMMON             0          0                                 F0928001   18 
ENDSUBENT           17          0                                 F092800199999 
SUBENT        F0928002   20251227                             F107F0928002    1 
BIB                  8         15                                 F0928002    2 
REACTION   (6-C-13(HE3,A)6-C-12,PAR,DA)                           F0928002    3 
MONITOR    (6-C-13(HE3,A)6-C-12,PAR,DA)                           F0928002    4 
MONIT-REF  (,H.D.Holmgren,J,PR,106,100,1957)                      F0928002    5 
SAMPLE     (6-C-13,ENR=0.60) The technique of cracking 60%        F0928002    6 
           enriched 13C methyl iodide on a thin nickel foil and   F0928002    7 
           dissolving the foil in acid was used to obtain         F0928002    8 
           self-supporting targets of about 75 ug/cm2 thickness.  F0928002    9 
DETECTOR   (SIBAR) Four 300 um surface barrier detectors          F0928002   10 
           mounted in a 30 cm scattering chamber were used.       F0928002   11 
ERR-ANALYS Carbon build-up on the target introduced an uncertaintyF0928002   12 
           in the percentage of 13C in the target and resulted in F0928002   13 
           an over-all error of approximately 50%                 F0928002   14 
           (ERR-S) Statistical error                              F0928002   15 
STATUS     (CURVE,,H.R.Weller+,J,NP/A,122,529,1968) Figs 3-5,18   F0928002   16 
HISTORY    (20251227U) SD: BIB updated.                           F0928002   17 
ENDBIB              15          0                                 F0928002   18 
COMMON               2          3                                 F0928002   19 
ANG-ERR-D  ERR-DIG                                                F0928002   20 
ADEG       PER-CENT                                               F0928002   21 
       0.14        0.2                                            F0928002   22 
ENDCOMMON            3          0                                 F0928002   23 
DATA                 5        576                                 F0928002   24 
E-LVL      EN         ANG-CM     DATA-CM    ERR-S                 F0928002   25 
         0.         6.      67.92  5.718E+01  6.865E+00           F0928002   65 
         0.         6.      72.92  8.030E+01  1.162E+01           F0928002   66 
         0.         6.      79.18  1.299E+02  1.559E+01           F0928002   67 
         0.         6.      83.89  2.103E+02  1.718E+01           F0928002   68 
         0.         6.      89.20  3.126E+02  3.357E+01           F0928002   69 
         0.         6.      94.50  4.147E+02  3.391E+01           F0928002   70 
         0.         6.      99.44  3.493E+02  2.850E+01           F0928002   71 
         0.         6.     104.40  3.439E+02  3.693E+01           F0928002   72 
         0.         6.     109.32  2.698E+02  2.897E+01           F0928002   73 
         0.         6.     114.55  1.999E+02  2.397E+01           F0928002   74 
         0.         6.     119.78  1.524E+02  1.441E+01           F0928002   75 
         0.         6.     128.38  8.375E+01  1.109E+01           F0928002   76 
         0.         6.     133.60  5.540E+01  5.950E+00           F0928002   77 
         0.         6.     142.61  6.937E+01  7.450E+00           F0928002   78 
         0.         6.     147.04  1.370E+02  1.645E+01           F0928002   79 
         0.         6.     151.14  2.593E+02  2.456E+01           F0928002   80 
         0.         6.     156.17  4.442E+02  3.625E+01           F0928002   81 
         0.         6.     160.82  4.630E+02  3.170E+01           F0928002   82 
         0.         6.     163.34  6.147E+02  5.817E+01           F0928002   83 
         0.         7.       9.84  5.847E+01  5.369E+00           F0928002   84 
         0.         7.      16.70  1.027E+02  1.321E+01           F0928002   85 
         0.         7.      23.29  2.187E+02  2.549E+01           F0928002   86 
         0.         7.      28.85  2.154E+02  1.980E+01           F0928002   87 
         0.         7.      33.79  1.927E+02  1.771E+01           F0928002   88 
         0.         7.      39.38  2.271E+02  1.801E+01           F0928002   89 
         0.         7.      44.33  2.237E+02  2.056E+01           F0928002   90 
         0.         7.      44.65  2.639E+02  1.754E+01           F0928002   91 
         0.         7.      49.85  2.823E+02  1.877E+01           F0928002   92 
         0.         7.      50.83  2.426E+02  1.299E+01           F0928002   93 
         0.         7.      56.05  1.766E+02  1.175E+01           F0928002   94 
         0.         7.      61.91  1.495E+02  1.374E+01           F0928002   95 
         0.         7.      66.79  8.034E+01  7.383E+00           F0928002   96 
         0.         7.      72.90  4.030E+01  3.703E+00           F0928002   97 
         0.         7.      77.92  7.378E+01  6.780E+00           F0928002   98 
         0.         7.      82.33  1.428E+02  1.837E+01           F0928002   99 
         0.         7.      88.23  1.852E+02  1.702E+01           F0928002  100 
         0.         7.      93.51  2.182E+02  1.451E+01           F0928002  101 
         0.         7.      99.09  2.367E+02  2.175E+01           F0928002  102 
         0.         7.     103.71  1.977E+02  1.817E+01           F0928002  103 
         0.         7.     107.08  1.500E+02  1.190E+01           F0928002  104 
         0.         7.     112.68  1.973E+02  2.059E+01           F0928002  105 
         0.         7.     117.61  1.694E+02  1.557E+01           F0928002  106 
         0.         7.     122.85  1.454E+02  1.336E+01           F0928002  107 
         0.         7.     127.83  1.836E+02  1.456E+01           F0928002  108 
         0.         7.     131.83  1.492E+02  1.371E+01           F0928002  109 
         0.         7.     137.31  7.382E+01  5.849E+00           F0928002  110 
         0.         7.     140.94  3.364E+01  1.803E+00           F0928002  111 
         0.         7.     145.33  5.751E+01  5.285E+00           F0928002  112 
         0.         7.     149.43  1.192E+02  1.096E+01           F0928002  113 
         0.         7.     154.15  2.275E+02  2.374E+01           F0928002  114 
         0.         7.     157.94  4.848E+02  3.844E+01           F0928002  115 
         0.         8.       6.16  4.843E+01  9.772E+00           F0928002  116 
         0.         8.       7.34  1.474E+02  6.098E+00           F0928002  117 
         0.         8.      11.17  8.742E+01  1.463E+01           F0928002  118 
         0.         8.      16.79  1.430E+02  2.559E+01           F0928002  119 
         0.         8.      22.40  2.371E+02  1.613E+01           F0928002  120 
         0.         8.      22.68  1.667E+02  1.777E+01           F0928002  121 
         0.         8.      27.95  1.787E+02  1.678E+01           F0928002  122 
         0.         8.      29.19  1.864E+02  1.511E+01           F0928002  123 
         0.         8.      34.45  1.970E+02  1.342E+01           F0928002  124 
         0.         8.      35.02  1.170E+02  9.471E+00           F0928002  125 
         0.         8.      40.02  2.024E+02  1.376E+01           F0928002  126 
         0.         8.      44.70  3.042E+02  1.259E+01           F0928002  127 
         0.         8.      50.58  3.081E+02  2.095E+01           F0928002  128 
         0.         8.      56.45  2.992E+02  1.639E+01           F0928002  129 
         0.         8.      61.99  2.192E+02  9.058E+00           F0928002  130 
         0.         8.      68.14  1.376E+02  7.536E+00           F0928002  131 
         0.         8.      73.33  7.499E+01  9.845E+00           F0928002  132 
         0.         8.      77.98  7.706E+01  9.175E+00           F0928002  133 
         0.         8.      82.98  1.315E+02  1.727E+01           F0928002  134 
         0.         8.      88.26  1.669E+02  1.136E+01           F0928002  135 
         0.         8.      93.56  2.616E+02  1.433E+01           F0928002  136 
         0.         8.      98.49  2.146E+02  2.015E+01           F0928002  137 
         0.         8.     103.73  1.760E+02  2.311E+01           F0928002  138 
         0.         8.     109.26  1.120E+02  1.051E+01           F0928002  139 
         0.         8.     113.23  6.934E+01  7.389E+00           F0928002  140 
         0.         8.     117.94  1.343E+02  1.261E+01           F0928002  141 
         0.         8.     122.00  2.048E+02  1.122E+01           F0928002  142 
         0.         8.     127.60  2.711E+02  2.544E+01           F0928002  143 
         0.         8.     132.25  3.162E+02  2.967E+01           F0928002  144 
         0.         8.     136.25  2.418E+02  2.271E+01           F0928002  145 
         0.         8.     140.23  1.699E+02  1.377E+01           F0928002  146 
         0.         8.     146.66  7.929E+01  8.445E+00           F0928002  147 
         0.         8.     149.74  7.180E+01  8.545E+00           F0928002  148 
         0.         8.     153.91  3.378E+02  3.172E+01           F0928002  149 
         0.         8.     157.97  5.007E+02  3.408E+01           F0928002  150 
         0.         8.     161.13  9.432E+02  1.354E+02           F0928002  151 
       4.43         5.       5.67  6.480E+02  8.525E+01           F0928002  152 
       4.43         5.      10.70  8.587E+02  5.847E+01           F0928002  153 
       4.43         5.      17.27  8.342E+02  6.769E+01           F0928002  154 
       4.43         5.      22.89  6.113E+02  4.160E+01           F0928002  155 
       4.43         5.      34.19  8.564E+02  5.831E+01           F0928002  156 
       4.43         5.      40.14  9.580E+02  6.523E+01           F0928002  157 
       4.43         5.      45.45  7.221E+02  3.963E+01           F0928002  158 
       4.43         5.      57.66  5.674E+02  4.604E+01           F0928002  159 
       4.43         5.      67.97  4.155E+02  2.279E+01           F0928002  160 
       4.43         5.      78.92  3.000E+02  2.043E+01           F0928002  161 
       4.43         5.      89.26  3.500E+02  1.920E+01           F0928002  162 
       4.43         5.      95.50  2.323E+02  2.477E+01           F0928002  163 
       4.43         5.      99.92  4.319E+02  3.506E+01           F0928002  164 
       4.43         5.     105.21  2.353E+02  9.750E+00           F0928002  165 
       4.43         5.     110.28  5.883E+02  3.227E+01           F0928002  166 
       4.43         5.     114.98  6.582E+02  4.479E+01           F0928002  167 
       4.43         5.     119.37  6.960E+02  3.818E+01           F0928002  168 
       4.43         5.     128.78  8.120E+02  5.526E+01           F0928002  169 
       4.43         5.     137.22  6.849E+02  5.559E+01           F0928002  170 
       4.43         5.     142.55  6.845E+02  2.836E+01           F0928002  171 
       4.43         5.     147.23  5.307E+02  2.909E+01           F0928002  172 
       4.43         5.     151.00  5.773E+02  3.933E+01           F0928002  173 
       4.43         5.     156.00  5.228E+02  2.867E+01           F0928002  174 
       4.43         5.     162.27  5.931E+02  4.812E+01           F0928002  175 
       4.43         6.       7.04  5.554E+02  1.059E+02           F0928002  176 
       4.43         6.      11.73  9.902E+02  1.658E+02           F0928002  177 
       4.43         6.      17.68  1.173E+03  1.964E+02           F0928002  178 
       4.43         6.      24.26  1.277E+03  1.679E+02           F0928002  179 
       4.43         6.      30.52  1.224E+03  3.265E+02           F0928002  180 
       4.43         6.      35.85  7.906E+02  1.416E+02           F0928002  181 
       4.43         6.      41.80  9.234E+02  1.438E+02           F0928002  182 
       4.43         6.      47.13  7.688E+02  9.164E+01           F0928002  183 
       4.43         6.      52.45  5.718E+02  1.282E+02           F0928002  184 
       4.43         6.      59.04  2.633E+02  3.463E+01           F0928002  185 
       4.43         6.      63.73  5.801E+02  1.039E+02           F0928002  186 
       4.43         6.      69.37  6.314E+02  9.829E+01           F0928002  187 
       4.43         6.      74.69  6.495E+02  7.742E+01           F0928002  188 
       4.43         6.      80.64  6.777E+02  1.055E+02           F0928002  189 
       4.43         6.      86.28  6.316E+02  9.076E+01           F0928002  190 
       4.43         6.      91.30  4.901E+02  8.209E+01           F0928002  191 
       4.43         6.      95.68  3.749E+02  6.717E+01           F0928002  192 
       4.43         6.     101.32  3.646E+02  6.107E+01           F0928002  193 
       4.43         6.     105.71  3.750E+02  6.281E+01           F0928002  194 
       4.43         6.     110.72  4.505E+02  7.546E+01           F0928002  195 
       4.43         6.     115.41  5.336E+02  1.078E+02           F0928002  196 
       4.43         6.     121.36  6.783E+02  9.746E+01           F0928002  197 
       4.43         6.     125.12  7.487E+02  1.254E+02           F0928002  198 
       4.43         6.     129.82  7.280E+02  1.046E+02           F0928002  199 
       4.43         6.     134.52  6.979E+02  1.250E+02           F0928002  200 
       4.43         6.     138.91  4.508E+02  7.551E+01           F0928002  201 
       4.43         6.     143.92  4.509E+02  6.478E+01           F0928002  202 
       4.43         6.     147.68  4.907E+02  7.639E+01           F0928002  203 
       4.43         6.     152.38  4.839E+02  8.105E+01           F0928002  204 
       4.43         6.     156.76  5.266E+02  8.821E+01           F0928002  205 
       4.43         6.     160.83  8.155E+02  1.555E+02           F0928002  206 
       4.43         7.      11.69  3.362E+02  3.121E+01           F0928002  207 
       4.43         7.      12.93  4.696E+02  3.762E+01           F0928002  208 
       4.43         7.      16.68  5.869E+02  6.184E+01           F0928002  209 
       4.43         7.      23.25  6.938E+02  5.561E+01           F0928002  210 
       4.43         7.      27.33  5.477E+02  2.966E+01           F0928002  211 
       4.43         7.      34.85  5.111E+02  3.436E+01           F0928002  212 
       4.43         7.      39.56  3.980E+02  2.675E+01           F0928002  213 
       4.43         7.      45.83  3.464E+02  2.776E+01           F0928002  214 
       4.43         7.      51.78  3.820E+02  2.569E+01           F0928002  215 
       4.43         7.      57.10  4.271E+02  1.173E+01           F0928002  216 
       4.43         7.      62.73  4.842E+02  5.103E+01           F0928002  217 
       4.43         7.      67.43  4.777E+02  3.827E+01           F0928002  218 
       4.43         7.      73.07  5.052E+02  2.735E+01           F0928002  219 
       4.43         7.      78.71  4.459E+02  1.224E+01           F0928002  220 
       4.43         7.      83.41  4.046E+02  2.719E+01           F0928002  221 
       4.43         7.      89.05  4.587E+02  4.259E+01           F0928002  222 
       4.43         7.      94.69  3.993E+02  2.163E+01           F0928002  223 
       4.43         7.      99.38  4.341E+02  2.352E+01           F0928002  224 
       4.43         7.     104.71  3.778E+02  1.545E+01           F0928002  225 
       4.43         7.     109.71  5.279E+02  3.549E+01           F0928002  226 
       4.43         7.     113.47  5.280E+02  3.551E+01           F0928002  227 
       4.43         7.     119.74  5.431E+02  2.941E+01           F0928002  228 
       4.43         7.     123.80  6.331E+02  3.428E+01           F0928002  229 
       4.43         7.     128.82  6.245E+02  3.381E+01           F0928002  230 
       4.43         7.     132.57  7.486E+02  4.054E+01           F0928002  231 
       4.43         7.     136.64  7.592E+02  3.105E+01           F0928002  232 
       4.43         7.     141.02  8.975E+02  2.464E+01           F0928002  233 
       4.43         7.     145.40  1.061E+03  4.339E+01           F0928002  234 
       4.43         7.     150.10  1.203E+03  1.665E+01           F0928002  235 
       4.43         7.     154.48  1.345E+03  5.495E+01           F0928002  236 
       4.43         7.     157.92  1.504E+03  6.149E+01           F0928002  237 
       4.43         8.       6.02  1.544E+03  1.475E+02           F0928002  238 
       4.43         8.      11.03  1.210E+03  8.373E+01           F0928002  239 
       4.43         8.      16.35  7.645E+02  4.262E+01           F0928002  240 
       4.43         8.      22.92  3.731E+02  2.582E+01           F0928002  241 
       4.43         8.      28.86  2.324E+02  9.787E+00           F0928002  242 
       4.43         8.      34.49  1.600E+02  1.735E+01           F0928002  243 
       4.43         8.      40.44  1.254E+02  1.359E+01           F0928002  244 
       4.43         8.      46.41  3.325E+02  2.741E+01           F0928002  245 
       4.43         8.      52.05  3.094E+02  2.551E+01           F0928002  246 
       4.43         8.      57.69  4.302E+02  2.398E+01           F0928002  247 
       4.43         8.      62.70  3.727E+02  1.570E+01           F0928002  248 
       4.43         8.      74.60  2.962E+02  1.651E+01           F0928002  249 
       4.43         8.      79.92  2.288E+02  2.479E+01           F0928002  250 
       4.43         8.      83.99  2.039E+02  1.411E+01           F0928002  251 
       4.43         8.      89.63  2.159E+02  9.094E+00           F0928002  252 
       4.43         8.      94.95  2.528E+02  1.409E+01           F0928002  253 
       4.43         8.      99.03  3.320E+02  3.171E+01           F0928002  254 
       4.43         8.     104.67  3.723E+02  3.069E+01           F0928002  255 
       4.43         8.     109.68  3.271E+02  1.824E+01           F0928002  256 
       4.43         8.     114.06  2.285E+02  1.581E+01           F0928002  257 
       4.43         8.     118.45  2.490E+02  1.388E+01           F0928002  258 
       4.43         8.     122.52  2.157E+02  9.089E+00           F0928002  259 
       4.43         8.     127.22  3.177E+02  2.199E+01           F0928002  260 
       4.43         8.     131.92  4.293E+02  2.971E+01           F0928002  261 
       4.43         8.     136.94  6.600E+02  6.303E+01           F0928002  262 
       4.43         8.     140.39  7.728E+02  5.348E+01           F0928002  263 
       4.43         8.     145.09  9.310E+02  6.442E+01           F0928002  264 
       4.43         8.     149.79  1.000E+03  5.576E+01           F0928002  265 
       4.43         8.     154.17  1.000E+03  4.210E+01           F0928002  266 
       4.43         8.     157.93  8.915E+02  2.522E+01           F0928002  267 
       4.43         8.     162.63  8.062E+02  5.578E+01           F0928002  268 
       7.66       5.27      21.68  4.585E+02                      F0928002  269 
       7.66       5.27      33.81  3.535E+02                      F0928002  270 
       7.66       5.27      44.67  3.037E+02                      F0928002  271 
       7.66       5.27      56.80  2.908E+02                      F0928002  272 
       7.66       5.27      67.97  3.495E+02                      F0928002  273 
       7.66       5.27      77.87  6.138E+02                      F0928002  274 
       7.66       5.27      89.68  5.448E+02                      F0928002  275 
       7.66       5.27      98.94  5.506E+02                      F0928002  276 
       7.66       5.27      99.26  5.104E+02                      F0928002  277 
       7.66       5.27     109.47  4.680E+02                      F0928002  278 
       7.66       5.27     137.88  2.969E+02                      F0928002  279 
       7.66       5.27     147.78  5.503E+02                      F0928002  280 
       7.66       5.27     155.77  5.746E+02                      F0928002  281 
       7.66       5.27     165.03  7.135E+02                      F0928002  282 
       7.66      5.388      32.91  3.759E+02                      F0928002  283 
       7.66      5.388      44.12  2.952E+02                      F0928002  284 
       7.66      5.388      56.28  2.647E+02                      F0928002  285 
       7.66      5.388      67.14  4.067E+02                      F0928002  286 
       7.66      5.388      77.05  5.184E+02                      F0928002  287 
       7.66      5.388      88.56  5.790E+02                      F0928002  288 
       7.66      5.388      98.48  7.062E+02                      F0928002  289 
       7.66      5.388     119.63  3.535E+02                      F0928002  290 
       7.66      5.388     136.91  3.101E+02                      F0928002  291 
       7.66      5.388     145.53  4.925E+02                      F0928002  292 
       7.66      5.388     154.81  5.149E+02                      F0928002  293 
       7.66      5.388     164.05  1.242E+03                      F0928002  294 
       7.66      5.505      34.49  4.294E+02                      F0928002  295 
       7.66      5.505      45.39  3.287E+02                      F0928002  296 
       7.66      5.505      57.52  3.295E+02                      F0928002  297 
       7.66      5.505      68.38  3.135E+02                      F0928002  298 
       7.66      5.505      78.80  5.966E+02                      F0928002  299 
       7.66      5.505      89.31  6.838E+02                      F0928002  300 
       7.66      5.505      99.88  5.628E+02                      F0928002  301 
       7.66      5.505     110.44  4.879E+02                      F0928002  302 
       7.66      5.505     120.07  3.546E+02                      F0928002  303 
       7.66      5.505     138.29  3.208E+02                      F0928002  304 
       7.66      5.505     146.21  4.615E+02                      F0928002  305 
       7.66      5.505     155.43  5.512E+02                      F0928002  306 
       7.66      5.505     165.33  5.580E+02                      F0928002  307 
       7.66       5.62      24.39  9.634E+02                      F0928002  308 
       7.66       5.62      35.71  3.842E+02                      F0928002  309 
       7.66       5.62      46.93  3.295E+02                      F0928002  310 
       7.66       5.62      58.15  2.855E+02                      F0928002  311 
       7.66       5.62      69.96  3.374E+02                      F0928002  312 
       7.66       5.62      80.15  4.955E+02                      F0928002  313 
       7.66       5.62      91.33  5.856E+02                      F0928002  314 
       7.66       5.62     100.90  7.673E+02                      F0928002  315 
       7.66       5.62     101.23  6.848E+02                      F0928002  316 
       7.66       5.62     111.49  6.183E+02                      F0928002  317 
       7.66       5.62     122.74  4.094E+02                      F0928002  318 
       7.66       5.62     130.47  2.654E+02                      F0928002  319 
       7.66       5.62     140.03  3.662E+02                      F0928002  320 
       7.66       5.62     150.21  6.089E+02                      F0928002  321 
       7.66       5.62     158.85  6.096E+02                      F0928002  322 
       7.66       5.62     167.18  5.446E+02                      F0928002  323 
       7.66       5.86      21.55  1.101E+03                      F0928002  324 
       7.66       5.86      33.44  7.053E+02                      F0928002  325 
       7.66       5.86      45.69  3.315E+02                      F0928002  326 
       7.66       5.86      57.51  3.150E+02                      F0928002  327 
       7.66       5.86      68.04  3.224E+02                      F0928002  328 
       7.66       5.86      78.79  6.257E+02                      F0928002  329 
       7.66       5.86      88.99  6.827E+02                      F0928002  330 
       7.66       5.86      98.85  8.648E+02                      F0928002  331 
       7.66       5.86      99.19  7.215E+02                      F0928002  332 
       7.66       5.86     109.44  6.030E+02                      F0928002  333 
       7.66       5.86     119.70  4.677E+02                      F0928002  334 
       7.66       5.86     128.72  2.749E+02                      F0928002  335 
       7.66       5.86     137.92  4.042E+02                      F0928002  336 
       7.66       5.86     146.79  6.136E+02                      F0928002  337 
       7.66       5.86     156.90  1.117E+03                      F0928002  338 
       7.66       5.86     163.93  1.095E+03                      F0928002  339 
       7.66      5.975      21.97  1.763E+03                      F0928002  340 
       7.66      5.975      34.27  6.210E+02                      F0928002  341 
       7.66      5.975      46.18  3.729E+02                      F0928002  342 
       7.66      5.975      57.09  3.083E+02                      F0928002  343 
       7.66      5.975      68.91  3.473E+02                      F0928002  344 
       7.66      5.975      79.11  4.789E+02                      F0928002  345 
       7.66      5.975      88.98  6.676E+02                      F0928002  346 
       7.66      5.975      98.86  9.305E+02                      F0928002  347 
       7.66      5.975      99.52  8.015E+02                      F0928002  348 
       7.66      5.975     109.81  5.527E+02                      F0928002  349 
       7.66      5.975     119.76  4.332E+02                      F0928002  350 
       7.66      5.975     129.11  2.713E+02                      F0928002  351 
       7.66      5.975     137.66  4.936E+02                      F0928002  352 
       7.66      5.975     146.94  5.104E+02                      F0928002  353 
       7.66      5.975     156.43  1.090E+03                      F0928002  354 
       7.66      5.975     164.93  3.038E+03                      F0928002  355 
       7.66         6.      23.05  1.456E+02                      F0928002  356 
       7.66         6.      28.62  1.654E+02                      F0928002  357 
       7.66         6.      34.16  2.617E+02  2.828E+01           F0928002  358 
       7.66         6.      40.86  2.366E+02                      F0928002  359 
       7.66         6.      45.91  1.498E+02                      F0928002  360 
       7.66         6.      51.80  8.145E+01                      F0928002  361 
       7.66         6.      57.13  4.600E+01                      F0928002  362 
       7.66         6.      63.07  1.341E+01  4.370E+00           F0928002  363 
       7.66         6.      68.58  3.483E+01                      F0928002  364 
       7.66         6.      73.56  6.176E+01                      F0928002  365 
       7.66         6.      77.98  1.197E+02                      F0928002  366 
       7.66         6.      84.11  1.110E+02                      F0928002  367 
       7.66         6.      88.82  1.733E+02                      F0928002  368 
       7.66         6.      93.82  2.413E+02                      F0928002  369 
       7.66         6.      98.84  2.324E+02                      F0928002  370 
       7.66         6.     103.31  1.997E+02                      F0928002  371 
       7.66         6.     108.36  1.217E+02                      F0928002  372 
       7.66         6.     113.40  8.752E+01                      F0928002  373 
       7.66         6.     117.88  6.134E+01                      F0928002  374 
       7.66         6.     122.62  6.061E+01                      F0928002  375 
       7.66         6.     126.79  7.064E+01                      F0928002  376 
       7.66         6.     132.06  1.103E+02                      F0928002  377 
       7.66         6.     136.51  1.237E+02  1.196E+01           F0928002  378 
       7.66       6.09      22.93  1.431E+03                      F0928002  379 
