ENTRY            F0360   20251212                             F104F0360000    1 
SUBENT        F0360001   20251212                             F104F0360001    1 
BIB                  8         17                                 F0360001    2 
TITLE      Radiative capture of protons by 11B above the peak of  F0360001    3 
           the giant dipole resonance                             F0360001    4 
AUTHOR     (G.Kernel,W.M.Mason)                                   F0360001    5 
INSTITUTE  (2UK OXF)                                              F0360001    6 
REFERENCE  (J,NP/A,123,205,1969)                                  F0360001    7 
FACILITY   (VDGT,2UK OXF)                                         F0360001    8 
SAMPLE     The target used for most of the run was 2 mg/cm2 thick F0360001    9 
           and was prepared by sintering natural boron powder.    F0360001   10 
           Additional spectra at a few energies were obtained by  F0360001   11 
           bombarding two superimposed self-supporting            F0360001   12 
           90 ug/cm2 thick enriched 11B target.                   F0360001   13 
DETECTOR   (NAICR) 24.cm x 30.cm at 90 degr. 12.5cm x 15.cm at 45 F0360001   14 
           and 135 degr.                                          F0360001   15 
HISTORY    (19851218C)                                            F0360001   16 
           (19990409U) CNPD: corrected 4-dig. year                F0360001   17 
           (20210517A) SD: Corrections in all Subents.            F0360001   18 
           (20251212U) SD: Small corrections in all Subents.      F0360001   19 
ENDBIB              17          0                                 F0360001   20 
NOCOMMON             0          0                                 F0360001   21 
ENDSUBENT           20          0                                 F036000199999 
SUBENT        F0360002   20251212                             F104F0360002    1 
BIB                  4          9                                 F0360002    2 
REACTION   (5-B-11(P,G)6-C-12,PAR,DA,,REL)                        F0360002    3 
            No explanation of relative units is given.            F0360002    4 
ERR-ANALYS (ERR-S) Statistical error                              F0360002    5 
STATUS     (CURVE,,G.Kernel+,J,NP/A,123,205,1969) Figs 3,4        F0360002    6 
HISTORY    (20210502A) SD: SF9=EXP deleted from REACTION code.    F0360002    7 
           STATUS updated. EN-SEC deleted. Accuracy of digitized  F0360002    8 
           data presentation revised. EN-ERR -> EN-ERR-DIG;       F0360002    9 
           DATA-ERR -> ERR-S.                                     F0360002   10 
           (20251212U) SD: BIB updated.                           F0360002   11 
ENDBIB               9          0                                 F0360002   12 
COMMON               1          3                                 F0360002   13 
EN-ERR-DIG                                                        F0360002   14 
MEV                                                               F0360002   15 
 0.05                                                             F0360002   16 
ENDCOMMON            3          0                                 F0360002   17 
DATA                 5        169                                 F0360002   18 
ANG        E-LVL      EN         DATA       ERR-S                 F0360002   19 
        15.         0.       31.1      442.1       69.7           F0360003   37 
        15.         0.       52.7      766.4       61.0           F0360003   38 
        15.         0.       69.2      846.1       78.5           F0360003   39 
        15.         0.       88.7      768.8       69.9           F0360003   40 
        15.         0.      109.8      578.3       69.9           F0360003   41 
        15.         0.      129.6      309.0       61.1           F0360003   42 
        15.         0.      147.8      144.5       52.4           F0360003   43 
        15.      4.439       34.2     1109.0       88.1           F0360003   44 
        15.      4.439       55.3     1170.0      100.5           F0360003   45 
        15.      4.439       72.0     1131.0      113.1           F0360003   46 
        15.      4.439       94.5     1129.0      113.1           F0360003   47 
        15.      4.439      112.5      914.4       88.0           F0360003   48 
        15.      4.439      130.4      624.0      100.5           F0360003   49 
        15.      4.439      151.4      547.0      113.0           F0360003   50 
       16.1         0.       28.2      379.1       41.2           F0360003   51 
       16.1         0.       50.2      586.6       47.9           F0360003   52 
       16.1         0.       68.5      642.7       61.7           F0360003   53 
       16.1         0.       90.9      692.2       61.6           F0360003   54 
       16.1         0.      109.9      453.0       82.4           F0360003   55 
       16.1         0.      128.8      275.6       48.1           F0360003   56 
       16.1         0.      150.4      125.9       54.9           F0360003   57 
       16.1      4.439       29.0      872.3      103.4           F0360003   58 
       16.1      4.439       51.7     1027.0       77.5           F0360003   59 
       16.1      4.439       70.2     1092.0       90.5           F0360003   60 
       16.1      4.439       90.1     1027.0      116.3           F0360003   61 
       16.1      4.439      109.9      858.4       64.6           F0360003   62 
       16.1      4.439      132.6      599.7       77.5           F0360003   63 
       16.1      4.439      151.1      496.1       90.5           F0360003   64 
       17.3         0.       32.6      326.8       45.0           F0360003   65 
       17.3         0.       51.7      514.0       44.9           F0360003   66 
       17.3         0.       72.4      572.6       57.9           F0360003   67 
       17.3         0.       91.9      560.4       45.0           F0360003   68 
       17.3         0.      111.6      374.5       64.3           F0360003   69 
       17.3         0.      132.7      207.9       77.1           F0360003   70 
       17.3         0.      149.6       54.1       64.3           F0360003   71 
       17.3      4.439       30.8      724.6       68.5           F0360003   72 
       17.3      4.439       51.8      775.0       77.1           F0360003   73 
       17.3      4.439       71.4      825.4       68.5           F0360003   74 
       17.3      4.439       89.5      781.7       94.2           F0360003   75 
       17.3      4.439      110.1      532.5       77.0           F0360003   76 
       17.3      4.439      128.1      394.7       77.0           F0360003   77 
