ENTRY            F0116   20251209                             F103F0116000    1 
SUBENT        F0116001   20251209                             F103F0116001    1 
BIB                  8         17                                 F0116001    2 
TITLE      The angular distribution and excitation of the long    F0116001    3 
           -range protons from the 9Be(d,p)10Be reaction.         F0116001    4 
AUTHOR     (F.L.Canavan)                                          F0116001    5 
INSTITUTE  (1USACUA)                                              F0116001    6 
REFERENCE  (J,PR,87,136,1952)                                     F0116001    7 
FACILITY   (VDG,1USACAW) Statitron.                               F0116001    8 
SAMPLE     Thin films of beryllium evaporated on 1-mil tungsten   F0116001    9 
           foils.                                                 F0116001   10 
DETECTOR   (PLATE) Eastman NTA plates with an emulsion 25 microns F0116001   11 
           thick.                                                 F0116001   12 
HISTORY    (19840516C)                                            F0116001   13 
           (19990407U) CNPD: corrected 4-dig. year and lower casesF0116001   14 
           (20110311A) Author's list was corrected. ERR-ANALYSIS  F0116001   15 
           codes in Sub 002, 004 were changed. FACILITY code in   F0116001   16 
           Sub 001 was added.                                     F0116001   17 
           (20200507A) SD: Corrections in all Subents.            F0116001   18 
           (20251209U) SD: Corrections in all Subents.            F0116001   19 
ENDBIB              17          0                                 F0116001   20 
NOCOMMON             0          0                                 F0116001   21 
ENDSUBENT           20          0                                 F011600199999 
SUBENT        F0116002   20251209                             F103F0116002    1 
BIB                  4         13                                 F0116002    2 
REACTION   (4-BE-9(D,P)4-BE-10,,DA,,REL)                          F0116002    3 
           No explanation of relative units is given.             F0116002    4 
ERR-ANALYS (ERR-T) Errors include both the statistical and        F0116002    5 
           systematic errors                                      F0116002    6 
           (ERR-1) The error introduced by multiple, small-angle, F0116002    7 
           Coulomb scattering at the absorbing foils              F0116002    8 
           (ERR-2) Possible displacement of the target from the   F0116002    9 
           geometrical center                                     F0116002   10 
           (ERR-3) Possible movement of the emulsion              F0116002   11 
           (ERR-4) Errors in counting                             F0116002   12 
STATUS     (CURVE,,F.L.Canavan,J,PR,87,136,1952) Fig. 4           F0116002   13 
HISTORY    (20200507U) SD: ERR-ANALYS, STATUS updated.            F0116002   14 
           (20251206U) SD: STATUS updated. DATA-ERR -> ERR-T.     F0116002   15 
ENDBIB              13          0                                 F0116002   16 
COMMON               5          3                                 F0116002   17 
COS-ERR-D  ERR-1      ERR-2      ERR-3      ERR-4                 F0116002   18 
NO-DIM     PER-CENT   PER-CENT   PER-CENT   PER-CENT              F0116002   19 
 0.010      2.         1.         1.         1.                   F0116002   20 
ENDCOMMON            3          0                                 F0116002   21 
DATA                 4        151                                 F0116002   22 
       1.75      0.609      0.777      0.080                      F0116002  118 
       1.75      0.696      0.999      0.080                      F0116002  119 
       1.75      0.765      1.222      0.128                      F0116002  120 
       1.75      0.834      1.380      0.112                      F0116002  121 
       1.75      0.882      1.379      0.096                      F0116002  122 
       1.75      0.928      1.265      0.096                      F0116002  123 
       1.75      0.956      1.105      0.096                      F0116002  124 
       1.75      0.987      1.024      0.112                      F0116002  125 
       1.75      1.001      0.976      0.112                      F0116002  126 
         2.     -0.935      1.147      0.094                      F0116002  127 
         2.     -0.895      1.133      0.107                      F0116002  128 
         2.     -0.841      1.145      0.094                      F0116002  129 
         2.     -0.802      1.118      0.094                      F0116002  130 
         2.     -0.721      1.103      0.093                      F0116002  131 
         2.     -0.653      1.141      0.107                      F0116002  132 
         2.     -0.599      1.167      0.107                      F0116002  133 
         2.     -0.450      1.230      0.107                      F0116002  134 
         2.     -0.398      1.163      0.107                      F0116002  135 
         2.     -0.221      1.226      0.080                      F0116002  136 
         2.     -0.130      1.117      0.080                      F0116002  137 
         2.     -0.051      1.022      0.067                      F0116002  138 
         2.      0.029      1.007      0.067                      F0116002  139 
         2.      0.121      0.898      0.067                      F0116002  140 
         2.      0.213      0.817      0.067                      F0116002  141 
         2.      0.291      0.682      0.067                      F0116002  142 
         2.      0.398      0.639      0.067                      F0116002  143 
         2.      0.641      0.688      0.067                      F0116002  144 
         2.      0.697      0.806      0.067                      F0116002  145 
         2.      0.780      0.911      0.067                      F0116002  146 
         2.      0.843      1.324      0.093                      F0116002  147 
         2.      0.897      1.376      0.107                      F0116002  148 
         2.      0.939      1.428      0.107                      F0116002  149 
         2.      0.999      1.094      0.094                      F0116002  150 
         2.      1.010      1.000      0.067                      F0116002  151 
         2.      1.025      1.066      0.003                      F0116002  152 
        2.2     -0.936      1.294      0.098                      F0116002  153 
        2.2     -0.811      1.144      0.098                      F0116002  154 
        2.2     -0.682      1.125      0.082                      F0116002  155 
        2.2     -0.619      1.074      0.115                      F0116002  156 
        2.2     -0.488      1.153      0.098                      F0116002  157 
        2.2     -0.408      1.102      0.082                      F0116002  158 
        2.2     -0.246      1.131      0.082                      F0116002  159 
        2.2     -0.055      1.045      0.065                      F0116002  160 
        2.2      0.009      0.995      0.065                      F0116002  161 
        2.2      0.104      0.911      0.082                      F0116002  162 
        2.2      0.184      0.877      0.082                      F0116002  163 
        2.2      0.277      0.744      0.082                      F0116002  164 
        2.2      0.374      0.726      0.066                      F0116002  165 
