ENTRY            K2777   20260503                             K024K277700000001 
SUBENT        K2777001   20260503                             K024K277700100001 
BIB                 11         22                                 K277700100002 
TITLE      Experimental study of photoneutron spectra from        K277700100003 
           tantalum, tungsten, and bismuth targets for 16.6 MeV   K277700100004 
           polarized photons                                      K277700100005 
AUTHOR     (T.H.T.Nguyen, T.Sanami, H.Yamazaki, T.Itoga,          K277700100006 
            Y.Kirihara, K.Sugihara, T.K.Tuyet, M.F.B.M.Zin,       K277700100007 
            S.Miyamoto, S.Hashimoto, Y.Asano)                     K277700100008 
INSTITUTE  (2JPNSOK,2JPNKEK,2JPNJSR,2JPNJAE,2JPNOSA,2JPNHIT)      K277700100009 
REFERENCE  (J,NST,61,261,2024)                                    K277700100010 
INC-SOURCE (LCS)                                                  K277700100011 
SAMPLE     - Chemical-form of target is element.                  K277700100012 
           - Physical-form of target is solid.                    K277700100013 
METHOD     (TOF)                                                  K277700100014 
           (PSD) to separate the neutrons from gamma rays         K277700100015 
FACILITY   (SRING,2JPNHIT) NewSUBARU                              K277700100016 
DETECTOR   (SCIN) Organic liquid scintillators (NE213)            K277700100017 
ERR-ANALYS (ERR-T) Total uncertainty                              K277700100018 
           (ERR-1) Number of photons                              K277700100019 
           (ERR-2) Detection efficiency                           K277700100020 
           (ERR-3) Solid angle                                    K277700100021 
           (ERR-S,4.,15.) neutron counting (4-15%)                K277700100022 
HISTORY    (20240703C) Y. O                                       K277700100023 
           (20250730R) Received by e-mail from Dr. T. Nguyen.     K277700100024 
ENDBIB              22          0                                 K277700100025 
COMMON               4          3                                 K277700100026 
EN         ERR-1      ERR-2      ERR-3                            K277700100027 
MEV        PER-CENT   PER-CENT   PER-CENT                         K277700100028 
 16.6       5.         5.         0.2                             K277700100029 
ENDCOMMON            3          0                                 K277700100030 
ENDSUBENT           29          0                                 K277700199999 
SUBENT        K2777002   20260503                             K024K277700200001 
BIB                  5         10                                 K277700200002 
REACTION   (73-TA-181(G,X)0-NN-1,,DA/DE,,MSC)                     K277700200003 
           The polarization direction was in the plane of the     K277700200004 
           incident photon direction with phi values of 0 and 90  K277700200005 
           degrees for the horizontal and vertical detectors,     K277700200006 
           respectively.                                          K277700200007 
ANG-SEC    (ANG,N)                                                K277700200008 
EN-SEC     (E,N)                                                  K277700200009 
SAMPLE     Target-thickness: Diameter 1.0 cm, Thickness 1.0 cm,   K277700200010 
           Weight 13.46 g                                         K277700200011 
STATUS     (TABLE,,T.H.T.Nguyen+,J,NST,61,261,2024) Fig. 4        K277700200012 
ENDBIB              10          0                                 K277700200013 
NOCOMMON             0          0                                 K277700200014 
DATA                 5        120                                 K277700200015 
ANG        ANG-AZ-RL  E          DATA       ERR-T                 K277700200016 
        60.         0.   9.20E+00   5.10E-01   9.66E-02           K277700200055 
        60.         0.   9.60E+00   2.86E-01   6.84E-02           K277700200056 
        60.         0.   1.00E+01   1.08E-01   3.97E-02           K277700200057 
        90.         0.   2.40E+00   7.02E+00   7.28E-01           K277700200058 
        90.         0.   2.80E+00   5.19E+00   5.49E-01           K277700200059 
        90.         0.   3.20E+00   3.10E+00   3.44E-01           K277700200060 
        90.         0.   3.60E+00   2.57E+00   2.93E-01           K277700200061 
        90.         0.   4.00E+00   2.22E+00   2.58E-01           K277700200062 
        90.         0.   4.40E+00   2.39E+00   2.75E-01           K277700200063 
        90.         0.   4.80E+00   2.40E+00   2.76E-01           K277700200064 
        90.         0.   5.20E+00   2.29E+00   2.67E-01           K277700200065 
        90.         0.   5.60E+00   2.58E+00   2.98E-01           K277700200066 
        90.         0.   6.00E+00   2.97E+00   3.38E-01           K277700200067 
        90.         0.   6.40E+00   2.67E+00   3.09E-01           K277700200068 
        90.         0.   6.80E+00   2.21E+00   2.63E-01           K277700200069 
        90.         0.   7.20E+00   2.24E+00   2.67E-01           K277700200070 
        90.         0.   7.60E+00   1.83E+00   2.28E-01           K277700200071 
        90.         0.   8.00E+00   1.65E+00   2.11E-01           K277700200072 
        90.         0.   8.40E+00   1.13E+00   1.57E-01           K277700200073 
        90.         0.   8.80E+00   1.00E+00   1.46E-01           K277700200074 
        90.         0.   9.20E+00   5.92E-01   1.03E-01           K277700200075 
        90.         0.   9.60E+00   5.17E-01   9.52E-02           K277700200076 
        90.         0.   1.00E+01   1.34E-01   4.26E-02           K277700200077 
        90.        90.   2.40E+00   6.84E+00   7.09E-01           K277700200078 
        90.        90.   2.80E+00   4.65E+00   4.96E-01           K277700200079 
        90.        90.   3.20E+00   3.15E+00   3.48E-01           K277700200080 
        90.        90.   3.60E+00   2.19E+00   2.55E-01           K277700200081 
        90.        90.   4.00E+00   1.63E+00   1.99E-01           K277700200082 
        90.        90.   4.40E+00   1.18E+00   1.53E-01           K277700200083 
        90.        90.   4.80E+00   1.13E+00   1.50E-01           K277700200084 
        90.        90.   5.20E+00   1.36E+00   1.73E-01           K277700200085 
        90.        90.   5.60E+00   1.18E+00   1.57E-01           K277700200086 
        90.        90.   6.00E+00   1.02E+00   1.41E-01           K277700200087 
        90.        90.   6.40E+00   1.03E+00   1.43E-01           K277700200088 
        90.        90.   6.80E+00   9.86E-01   1.39E-01           K277700200089 
        90.        90.   7.20E+00   9.97E-01   1.40E-01           K277700200090 
        90.        90.   7.60E+00   1.00E+00   1.43E-01           K277700200091 
        90.        90.   8.00E+00   1.05E+00   1.48E-01           K277700200092 
        90.        90.   8.40E+00   8.72E-01   1.30E-01           K277700200093 
        90.        90.   8.80E+00   7.70E-01   1.20E-01           K277700200094 
        90.        90.   9.20E+00   4.46E-01   8.52E-02           K277700200095 
        90.        90.   9.60E+00   4.39E-01   8.47E-02           K277700200096 
        90.        90.   1.00E+01   2.41E-01   5.89E-02           K277700200097 
       120.         0.   2.40E+00   7.56E+00   7.82E-01           K277700200098 
       120.         0.   2.80E+00   4.91E+00   5.23E-01           K277700200099 
       120.         0.   3.20E+00   3.65E+00   3.99E-01           K277700200100 
       120.         0.   3.60E+00   2.43E+00   2.80E-01           K277700200101 
       120.         0.   4.00E+00   2.11E+00   2.48E-01           K277700200102 
       120.         0.   4.40E+00   1.71E+00   2.08E-01           K277700200103 
       120.         0.   4.80E+00   1.97E+00   2.34E-01           K277700200104 
       120.         0.   5.20E+00   1.87E+00   2.26E-01           K277700200105 
       120.         0.   5.60E+00   2.02E+00   2.42E-01           K277700200106 
       120.         0.   6.00E+00   1.96E+00   2.38E-01           K277700200107 
       120.         0.   6.40E+00   2.26E+00   2.69E-01           K277700200108 
       120.         0.   6.80E+00   1.91E+00   2.34E-01           K277700200109 
       120.         0.   7.20E+00   2.03E+00   2.46E-01           K277700200110 
       120.         0.   7.60E+00   1.60E+00   2.05E-01           K277700200111 
       120.         0.   8.00E+00   1.46E+00   1.93E-01           K277700200112 
       120.         0.   8.40E+00   1.26E+00   1.72E-01           K277700200113 
       120.         0.   8.80E+00   1.02E+00   1.48E-01           K277700200114 
       120.         0.   9.20E+00   7.69E-01   1.23E-01           K277700200115 
       120.         0.   9.60E+00   5.85E-01   1.03E-01           K277700200116 
       120.         0.   1.00E+01   2.21E-01   5.63E-02           K277700200117 
       150.         0.   2.40E+00   8.03E+00   8.30E-01           K277700200118 
       150.         0.   2.80E+00   5.77E+00   6.09E-01           K277700200119 
       150.         0.   3.20E+00   3.83E+00   4.18E-01           K277700200120 
       150.         0.   3.60E+00   2.81E+00   3.20E-01           K277700200121 
       150.         0.   4.00E+00   1.87E+00   2.25E-01           K277700200122 
       150.         0.   4.40E+00   1.56E+00   1.95E-01           K277700200123 
       150.         0.   4.80E+00   1.34E+00   1.74E-01           K277700200124 
       150.         0.   5.20E+00   1.58E+00   1.99E-01           K277700200125 
       150.         0.   5.60E+00   1.79E+00   2.22E-01           K277700200126 
       150.         0.   6.00E+00   1.52E+00   1.96E-01           K277700200127 
       150.         0.   6.40E+00   1.37E+00   1.81E-01           K277700200128 
       150.         0.   6.80E+00   1.61E+00   2.06E-01           K277700200129 
       150.         0.   7.20E+00   1.24E+00   1.69E-01           K277700200130 
       150.         0.   7.60E+00   1.41E+00   1.88E-01           K277700200131 
       150.         0.   8.00E+00   1.28E+00   1.76E-01           K277700200132 
       150.         0.   8.40E+00   1.04E+00   1.51E-01           K277700200133 
       150.         0.   8.80E+00   8.08E-01   1.27E-01           K277700200134 
       150.         0.   9.20E+00   5.97E-01   1.06E-01           K277700200135 
       150.         0.   9.60E+00   4.27E-01   8.61E-02           K277700200136 
       150.         0.   1.00E+01   1.97E-01   5.45E-02           K277700200137 
ENDDATA            122          0                                 K277700200138 
ENDSUBENT          137          0                                 K277700299999 
SUBENT        K2777003   20260503                             K024K277700300001 
BIB                  5         10                                 K277700300002 
REACTION   (74-W-0(G,X)0-NN-1,,DA/DE,,MSC)                        K277700300003 
           The polarization direction was in the plane of the     K277700300004 
           incident photon direction with phi values of 0 and 90  K277700300005 
           degrees for the horizontal and vertical detectors,     K277700300006 
           respectively.                                          K277700300007 
ANG-SEC    (ANG,N)                                                K277700300008 
EN-SEC     (E,N)                                                  K277700300009 
SAMPLE     Target-thickness: Diameter 1.0 cm, Thickness 1.0 cm,   K277700300010 
           Weight 15.59 g                                         K277700300011 
STATUS     (TABLE,,T.H.T.Nguyen+,J,NST,61,261,2024) Fig. 4        K277700300012 
ENDBIB              10          0                                 K277700300013 
NOCOMMON             0          0                                 K277700300014 
DATA                 5        120                                 K277700300015 
ANG        ANG-AZ-RL  E          DATA       ERR-T                 K277700300016 
ADEG       ADEG       MEV        MB/SR/MEV  MB/SR/MEV             K277700300017 
        30.         0.        2.4    8.31134   0.778122           K277700300018 
        30.         0.        2.8    5.38196   0.520574           K277700300019 
        30.         0.        3.2    3.52288   0.358033           K277700300020 
        30.         0.        3.6    2.70945   0.287733           K277700300021 
        30.         0.        4.0    2.18431   0.240396           K277700300022 
        30.         0.        4.4    1.71492    0.19816           K277700300023 
        30.         0.        4.8    1.83772   0.210012           K277700300024 
        30.         0.        5.2    1.65381   0.195082           K277700300025 
        30.         0.        5.6    1.66974   0.197848           K277700300026 
        30.         0.        6.0    1.86642   0.217376           K277700300027 
        30.         0.        6.4    1.53682   0.188364           K277700300028 
        30.         0.        6.8    1.52177   0.186873           K277700300029 
        30.         0.        7.2     1.3822   0.174719           K277700300030 
        30.         0.        7.6    1.31641   0.171325           K277700300031 
        30.         0.        8.0    1.42519   0.182694           K277700300032 
        30.         0.        8.4    1.16749   0.158252           K277700300033 
        30.         0.        8.8   0.938767   0.137307           K277700300034 
        30.         0.        9.2   0.807114   0.126964           K277700300035 
        30.         0.        9.6   0.446329  0.0878644           K277700300036 
        30.         0.       10.0    0.16748  0.0504771           K277700300037 
        60.         0.        2.4    8.92144   0.916999           K277700300038 
        60.         0.        2.8    5.44307   0.574827           K277700300039 
        60.         0.        3.2    3.63898   0.398219           K277700300040 
        60.         0.        3.6    2.78898   0.315812           K277700300041 
        60.         0.        4.0    2.58432   0.295323           K277700300042 
        60.         0.        4.4    2.30342   0.267008           K277700300043 
        60.         0.        4.8    2.19882   0.257216           K277700300044 
        60.         0.        5.2    2.15485   0.254279           K277700300045 
        60.         0.        5.6    2.59167   0.299074           K277700300046 
        60.         0.        6.0    2.40453   0.281826           K277700300047 
        60.         0.        6.4    2.33307     0.2757           K277700300048 
        60.         0.        6.8    2.17453   0.260316           K277700300049 
        60.         0.        7.2    2.00664   0.243814           K277700300050 
        60.         0.        7.6    1.71209    0.21652           K277700300051 
        60.         0.        8.0    1.64379   0.211419           K277700300052 
        60.         0.        8.4     1.3089    0.17656           K277700300053 
        60.         0.        8.8    1.19929   0.166217           K277700300054 
        60.         0.        9.2   0.827602    0.12994           K277700300055 
        60.         0.        9.6   0.672975   0.113348           K277700300056 
        60.         0.       10.0     0.2399  0.0597979           K277700300057 
        90.         0.        2.4    7.81593   0.802984           K277700300058 
        90.         0.        2.8    5.82733   0.608683           K277700300059 
        90.         0.        3.2    3.89416   0.419509           K277700300060 
        90.         0.        3.6    3.10781   0.343204           K277700300061 
        90.         0.        4.0    2.41826   0.274924           K277700300062 
        90.         0.        4.4    2.32883   0.266256           K277700300063 
        90.         0.        4.8    2.07938   0.242037           K277700300064 
        90.         0.        5.2    2.48433   0.283087           K277700300065 
        90.         0.        5.6    2.49293   0.285724           K277700300066 
        90.         0.        6.0    2.45949   0.283977           K277700300067 
        90.         0.        6.4    2.03733   0.242732           K277700300068 
        90.         0.        6.8    2.33985   0.272686           K277700300069 
        90.         0.        7.2    1.92487   0.232189           K277700300070 
        90.         0.        7.6    2.05432   0.247161           K277700300071 
        90.         0.        8.0    1.92256    0.23566           K277700300072 
        90.         0.        8.4    1.38946   0.181567           K277700300073 
        90.         0.        8.8    1.06168   0.148638           K277700300074 
        90.         0.        9.2    1.03829   0.149063           K277700300075 
        90.         0.        9.6   0.623384   0.104347           K277700300076 
        90.         0.       10.0   0.386506  0.0771107           K277700300077 
        90.        90.        2.4    7.89418    0.80942           K277700300078 
        90.        90.        2.8    4.94409   0.521502           K277700300079 
        90.        90.        3.2    3.30493   0.361116           K277700300080 
        90.        90.        3.6    2.31515   0.264563           K277700300081 
        90.        90.        4.0     1.6662   0.199628           K277700300082 
        90.        90.        4.4    1.36038   0.169301           K277700300083 
        90.        90.        4.8    1.08186    0.14161           K277700300084 
        90.        90.        5.2    1.13777   0.148184           K277700300085 
        90.        90.        5.6    1.25677     0.1614           K277700300086 
        90.        90.        6.0    0.91035   0.127452           K277700300087 
        90.        90.        6.4   0.863313   0.123214           K277700300088 
        90.        90.        6.8    1.13784   0.151655           K277700300089 
        90.        90.        7.2    1.04339   0.142265           K277700300090 
        90.        90.        7.6     0.8992   0.129094           K277700300091 
        90.        90.        8.0    0.93423   0.134123           K277700300092 
        90.        90.        8.4   0.890033    0.12896           K277700300093 
        90.        90.        8.8   0.682893    0.10722           K277700300094 
        90.        90.        9.2   0.671265   0.108585           K277700300095 
        90.        90.        9.6   0.523068  0.0924502           K277700300096 
        90.        90.       10.0   0.267021  0.0604002           K277700300097 
       120.         0.        2.4    8.67636   0.887709           K277700300098 
       120.         0.        2.8    5.70625   0.597268           K277700300099 
       120.         0.        3.2    3.52369   0.384082           K277700300100 
       120.         0.        3.6    2.60695   0.294451           K277700300101 
       120.         0.        4.0    2.06041   0.240121           K277700300102 
       120.         0.        4.4    1.77388   0.211675           K277700300103 
       120.         0.        4.8    1.78986   0.213581           K277700300104 
       120.         0.        5.2    1.82476   0.218268           K277700300105 
       120.         0.        5.6     1.9619   0.233032           K277700300106 
       120.         0.        6.0    1.93218   0.231685           K277700300107 
       120.         0.        6.4    2.05121   0.244196           K277700300108 
       120.         0.        6.8    1.83705   0.222793           K277700300109 
       120.         0.        7.2    1.97828    0.23781           K277700300110 
       120.         0.        7.6    1.41025   0.182498           K277700300111 
       120.         0.        8.0    1.45738   0.188895           K277700300112 
       120.         0.        8.4    1.20921   0.163453           K277700300113 
       120.         0.        8.8   0.997293   0.142336           K277700300114 
       120.         0.        9.2   0.991549   0.144126           K277700300115 
       120.         0.        9.6   0.826824   0.126977           K277700300116 
       120.         0.       10.0   0.427718  0.0817457           K277700300117 
       150.         0.        2.4    8.97152   0.918575           K277700300118 
       150.         0.        2.8    6.26757   0.654607           K277700300119 
       150.         0.        3.2    4.17692   0.450143           K277700300120 
       150.         0.        3.6     2.4707    0.28332           K277700300121 
       150.         0.        4.0    1.99609   0.235712           K277700300122 
       150.         0.        4.4    1.73211   0.209493           K277700300123 
       150.         0.        4.8    1.72626   0.209165           K277700300124 
       150.         0.        5.2    1.52956   0.190801           K277700300125 
       150.         0.        5.6    1.52723   0.192146           K277700300126 
       150.         0.        6.0    1.55076    0.19586           K277700300127 
       150.         0.        6.4    1.40819   0.182231           K277700300128 
       150.         0.        6.8    1.52213   0.193803           K277700300129 
       150.         0.        7.2    1.55064   0.197161           K277700300130 
       150.         0.        7.6    1.23362   0.167106           K277700300131 
       150.         0.        8.0    1.23135   0.167892           K277700300132 
       150.         0.        8.4    1.13559   0.158174           K277700300133 
       150.         0.        8.8   0.873616   0.131501           K277700300134 
       150.         0.        9.2    0.50688  0.0933131           K277700300135 
       150.         0.        9.6   0.460283  0.0879696           K277700300136 
       150.         0.       10.0    0.19741  0.0529707           K277700300137 
ENDDATA            122          0                                 K277700300138 
ENDSUBENT          137          0                                 K277700399999 
SUBENT        K2777004   20260503                             K024K277700400001 
BIB                  5         10                                 K277700400002 
REACTION   (83-BI-209(G,X)0-NN-1,,DA/DE,,MSC)                     K277700400003 
           The polarization direction was in the plane of the     K277700400004 
           incident photon direction with phi values of 0 and 90  K277700400005 
           degrees for the horizontal and vertical detectors,     K277700400006 
           respectively.                                          K277700400007 
ANG-SEC    (ANG,N)                                                K277700400008 
EN-SEC     (E,N)                                                  K277700400009 
SAMPLE     Target-thickness: Diameter 1.0 cm, Thickness 2.0 cm,   K277700400010 
           Weight 15.36 g                                         K277700400011 
STATUS     (TABLE,,T.H.T.Nguyen+,J,NST,61,261,2024) Fig. 4        K277700400012 
ENDBIB              10          0                                 K277700400013 
NOCOMMON             0          0                                 K277700400014 
DATA                 5        120                                 K277700400015 
ANG        ANG-AZ-RL  E          DATA       ERR-T                 K277700400016 
ADEG       ADEG       MEV        MB/SR/MEV  MB/SR/MEV             K277700400017 
        30.         0.        2.4    10.9085    1.01302           K277700400018 
        30.         0.        2.8     8.5779   0.807205           K277700400019 
        30.         0.        3.2    6.52936   0.629537           K277700400020 
        30.         0.        3.6    4.43287   0.447685           K277700400021 
        30.         0.         4.    3.67356   0.380158           K277700400022 
        30.         0.        4.4    2.67072   0.291933           K277700400023 
        30.         0.        4.8    2.31139   0.260606           K277700400024 
        30.         0.        5.2    2.27901   0.260135           K277700400025 
        30.         0.        5.6    2.46766    0.27913           K277700400026 
        30.         0.         6.    2.48944   0.283496           K277700400027 
        30.         0.        6.4    2.17639   0.255974           K277700400028 
        30.         0.        6.8    2.09456   0.248565           K277700400029 
        30.         0.        7.2    2.24022   0.262727           K277700400030 
        30.         0.        7.6    1.84713   0.229996           K277700400031 
        30.         0.         8.     1.7664   0.224303           K277700400032 
        30.         0.        8.4     1.1625   0.166409           K277700400033 
        30.         0.        8.8     1.1044   0.162269           K277700400034 
        30.         0.        9.2    1.04711   0.160098           K277700400035 
        30.         0.        9.6   0.532623   0.104852           K277700400036 
        30.         0.        10.   0.414904  0.0904299           K277700400037 
        60.         0.        2.4     11.436    1.16657           K277700400038 
        60.         0.        2.8    8.37861   0.865793           K277700400039 
        60.         0.        3.2    6.24763   0.658002           K277700400040 
        60.         0.        3.6    4.31567   0.470184           K277700400041 
        60.         0.         4.     3.7876   0.417904           K277700400042 
        60.         0.        4.4    3.28576   0.368908           K277700400043 
        60.         0.        4.8    2.58354   0.300359           K277700400044 
        60.         0.        5.2    2.95565   0.338759           K277700400045 
        60.         0.        5.6     2.9988   0.345127           K277700400046 
        60.         0.         6.    3.43964   0.390689           K277700400047 
        60.         0.        6.4    3.43139    0.39064           K277700400048 
        60.         0.        6.8    3.25453   0.373014           K277700400049 
        60.         0.        7.2    3.52299     0.4007           K277700400050 
        60.         0.        7.6    3.08892   0.360428           K277700400051 
        60.         0.         8.    2.79576   0.333092           K277700400052 
        60.         0.        8.4    2.75877     0.3292           K277700400053 
        60.         0.        8.8    2.01453   0.255794           K277700400054 
        60.         0.        9.2     1.3392   0.190046           K277700400055 
        60.         0.        9.6   0.767236   0.129224           K277700400056 
        60.         0.        10.   0.466899  0.0931496           K277700400057 
        90.         0.        2.4    9.96169     1.0172           K277700400058 
        90.         0.        2.8    7.65707   0.791701           K277700400059 
        90.         0.        3.2    5.83945   0.614389           K277700400060 
        90.         0.        3.6    4.67637   0.501836           K277700400061 
        90.         0.         4.    3.31937    0.36827           K277700400062 
        90.         0.        4.4    3.02461   0.339587           K277700400063 
        90.         0.        4.8    3.01749   0.339445           K277700400064 
        90.         0.        5.2    2.92728   0.332344           K277700400065 
        90.         0.        5.6    3.00833   0.342163           K277700400066 
        90.         0.         6.    3.49324   0.391904           K277700400067 
        90.         0.        6.4    3.14814   0.358726           K277700400068 
        90.         0.        6.8    3.83904     0.4269           K277700400069 
        90.         0.        7.2     3.2029   0.364797           K277700400070 
        90.         0.        7.6    3.42237   0.389255           K277700400071 
        90.         0.         8.    3.34078   0.382708           K277700400072 
        90.         0.        8.4    2.92325   0.341097           K277700400073 
        90.         0.        8.8    2.45334   0.295935           K277700400074 
        90.         0.        9.2    2.10083   0.263981           K277700400075 
        90.         0.        9.6      1.106   0.162353           K277700400076 
        90.         0.        10.   0.620258   0.108813           K277700400077 
        90.        90.        2.4    9.45056   0.965781           K277700400078 
        90.        90.        2.8    7.06902    0.73347           K277700400079 
        90.        90.        3.2    5.55336   0.585768           K277700400080 
        90.        90.        3.6    4.11812    0.44634           K277700400081 
        90.        90.         4.    2.75871   0.312383           K277700400082 
        90.        90.        4.4    2.29421   0.266722           K277700400083 
        90.        90.        4.8    1.80068   0.218382           K277700400084 
        90.        90.        5.2    1.61548   0.201282           K277700400085 
        90.        90.        5.6    1.53635   0.194814           K277700400086 
        90.        90.         6.    1.41495   0.184284           K277700400087 
        90.        90.        6.4    1.50618   0.194308           K277700400088 
        90.        90.        6.8    1.41396   0.185081           K277700400089 
        90.        90.        7.2    1.12652   0.156131           K277700400090 
        90.        90.        7.6   0.952863   0.139874           K277700400091 
        90.        90.         8.   0.808619   0.125807           K277700400092 
        90.        90.        8.4   0.768785   0.121275           K277700400093 
        90.        90.        8.8   0.495571  0.0912312           K277700400094 
        90.        90.        9.2   0.270501  0.0646487           K277700400095 
        90.        90.        9.6   0.182405  0.0518906           K277700400096 
        90.        90.        10.   0.103078   0.037803           K277700400097 
       120.         0.        2.4    10.6719     1.0863           K277700400098 
       120.         0.        2.8    8.13563   0.838249           K277700400099 
       120.         0.        3.2    6.06106   0.635995           K277700400100 
       120.         0.        3.6    4.82998    0.51673           K277700400101 
       120.         0.         4.    3.34467   0.370375           K277700400102 
       120.         0.        4.4     2.6942   0.306716           K277700400103 
       120.         0.        4.8    2.48333   0.286888           K277700400104 
       120.         0.        5.2    2.11729   0.252064           K277700400105 
       120.         0.        5.6     2.3257   0.274634           K277700400106 
       120.         0.         6.    2.56508   0.300253           K277700400107 
       120.         0.        6.4    2.64957   0.309163           K277700400108 
       120.         0.        6.8    2.60772   0.305048           K277700400109 
       120.         0.        7.2    2.95934   0.340585           K277700400110 
       120.         0.        7.6    2.94171   0.341594           K277700400111 
